queryID,n_prune_user,n_result_user,n_refine_user,ip_cost,io_cost,total_time,memory_index_time,io_time
         0,   2182819,       100,         0,      6638,         0,      0.18,      0.16,      0.00
         1,   2163845,       100,         0,     25612,         0,      0.06,      0.06,      0.00
         2,   2189357,       100,         0,      6618,         0,      0.04,      0.04,      0.00
         3,   2189357,       100,         0,      4252,         0,      0.04,      0.04,      0.00
         4,   2189357,       100,         0,     19332,         0,      0.04,      0.04,      0.00
         5,   2183243,       100,         0,      6214,         0,      0.04,      0.04,      0.00
         6,   2189357,       100,         0,      9855,         0,      0.04,      0.04,      0.00
         7,   2179339,       100,         0,     10118,         0,      0.04,      0.04,      0.00
         8,   2189357,       100,         0,     14087,         0,      0.04,      0.04,      0.00
         9,   2184903,       100,         0,      4554,         0,      0.04,      0.04,      0.00
        10,   2189357,       100,         0,      3204,         0,      0.04,      0.04,      0.00
        11,   2186648,       100,         0,      2809,         0,      0.04,      0.04,      0.00
        12,   2181285,       100,         0,      8171,         0,      0.04,      0.04,      0.00
        13,   2167025,       100,         0,     22432,         0,      0.04,      0.04,      0.00
        14,   2113691,       100,         0,     75766,         0,      0.05,      0.05,      0.00
        15,   2185950,       100,         0,      3507,         0,      0.04,      0.04,      0.00
        16,   2152162,       100,         0,     37295,         0,      0.05,      0.05,      0.00
        17,   2184487,       100,         0,      4970,         0,      0.04,      0.04,      0.00
        18,   1612281,       100,         0,    577155,         0,      0.14,      0.14,      0.00
        19,   2184478,       100,         0,      4978,         0,      0.04,      0.04,      0.00
        20,   2189357,       100,         0,      2192,         0,      0.04,      0.04,      0.00
        21,   2186626,       100,         0,      2831,         0,      0.04,      0.04,      0.00
        22,   1508707,       100,         0,    680750,         0,      0.15,      0.15,      0.00
        23,   2183996,       100,         0,      5461,         0,      0.04,      0.04,      0.00
        24,   2164765,       100,         0,     24692,         0,      0.04,      0.04,      0.00
        25,   2179779,       100,         0,      9678,         0,      0.04,      0.04,      0.00
        26,   2189357,       100,         0,      2406,         0,      0.04,      0.04,      0.00
        27,   2151328,       100,         0,     38129,         0,      0.05,      0.04,      0.00
        28,   1787659,       100,         0,    401798,         0,      0.09,      0.08,      0.00
        29,   2189357,       100,         0,      6134,         0,      0.04,      0.04,      0.00
        30,   2189357,       100,         0,      3642,         0,      0.04,      0.04,      0.00
        31,   2186417,       100,         0,      3040,         0,      0.04,      0.04,      0.00
        32,   1910001,       100,         0,    279456,         0,      0.08,      0.07,      0.00
        33,   2189357,       100,         0,      3005,         0,      0.04,      0.04,      0.00
        34,   2183898,       100,         0,      5559,         0,      0.04,      0.04,      0.00
        35,   2188006,       100,         0,      1450,         0,      0.04,      0.04,      0.00
        36,   2188354,       100,         0,      1103,         0,      0.04,      0.04,      0.00
        37,   2154797,       100,         0,     34660,         0,      0.04,      0.04,      0.00
        38,   2106270,       100,         0,     83187,         0,      0.05,      0.05,      0.00
        39,   2189354,        98,         5,     70854,         0,      0.08,      0.04,      0.00
        40,   2177669,       100,         0,     11788,         0,      0.04,      0.04,      0.00
        41,   2189357,       100,         0,      2460,         0,      0.04,      0.04,      0.00
        42,   2189357,       100,         0,      2324,         0,      0.04,      0.04,      0.00
        43,   2182771,       100,         0,      6686,         0,      0.04,      0.04,      0.00
        44,   2182360,       100,         0,      7097,         0,      0.04,      0.04,      0.00
        45,   2171761,       100,         0,     17696,         0,      0.04,      0.04,      0.00
        46,   2178870,       100,         0,     10587,         0,      0.04,      0.04,      0.00
        47,    902613,       100,         0,   1286844,         0,      0.20,      0.19,      0.00
        48,   2189357,       100,         0,     12758,         0,      0.04,      0.04,      0.00
        49,   2189357,       100,         0,     14134,         0,      0.04,      0.04,      0.00
        50,   2189356,        97,         4,     84479,         0,      0.09,      0.04,      0.00
        51,   2189357,       100,         0,     11986,         0,      0.04,      0.04,      0.00
        52,   2187123,       100,         0,      2334,         0,      0.04,      0.04,      0.00
        53,   2179389,       100,         0,     10068,         0,      0.04,      0.04,      0.00
        54,   2184386,       100,         0,      5071,         0,      0.04,      0.04,      0.00
        55,   2181736,       100,         0,      7720,         0,      0.04,      0.04,      0.00
        56,   2189357,       100,         0,      2471,         0,      0.04,      0.04,      0.00
        57,   2185883,       100,         0,      3574,         0,      0.04,      0.04,      0.00
        58,   2186212,       100,         0,      3245,         0,      0.04,      0.04,      0.00
        59,   2173744,       100,         0,     15713,         0,      0.04,      0.04,      0.00
        60,   2184095,       100,         0,      5362,         0,      0.04,      0.04,      0.00
        61,   2178227,       100,         0,     11230,         0,      0.04,      0.04,      0.00
        62,   2180088,       100,         0,      9369,         0,      0.04,      0.04,      0.00
        63,   2144341,       100,         0,     45116,         0,      0.05,      0.04,      0.00
        64,   1975612,       100,         0,    213845,         0,      0.06,      0.06,      0.00
        65,   1470208,       100,         0,    719249,         0,      0.11,      0.11,      0.00
        66,   2189357,       100,         0,     14984,         0,      0.05,      0.04,      0.00
        67,   2189357,       100,         0,      1285,         0,      0.04,      0.04,      0.00
        68,   2189357,       100,         0,     34247,         0,      0.05,      0.04,      0.00
        69,   2186255,       100,         0,      3202,         0,      0.04,      0.04,      0.00
        70,   2189355,        99,         3,     24773,         0,      0.08,      0.03,      0.00
        71,   2164752,       100,         0,     24705,         0,      0.04,      0.04,      0.00
        72,   2179742,       100,         0,      9715,         0,      0.04,      0.04,      0.00
        73,   2159471,       100,         0,     29986,         0,      0.04,      0.04,      0.00
        74,   2172127,       100,         0,     17330,         0,      0.04,      0.04,      0.00
        75,   1643251,       100,         0,    546206,         0,      0.10,      0.09,      0.00
        76,   2189357,       100,         0,      5014,         0,      0.04,      0.04,      0.00
        77,   2189357,       100,         0,       824,         0,      0.04,      0.04,      0.00
        78,   2175454,       100,         0,     14003,         0,      0.04,      0.04,      0.00
        79,   2177393,       100,         0,     12062,         0,      0.04,      0.04,      0.00
        80,   2183973,       100,         0,      5484,         0,      0.04,      0.04,      0.00
        81,   1985525,       100,         0,    203932,         0,      0.06,      0.06,      0.00
        82,   2189357,       100,         0,     21666,         0,      0.05,      0.04,      0.00
        83,   2189357,       100,         0,      1483,         0,      0.04,      0.04,      0.00
        84,   2189357,       100,         0,     18038,         0,      0.04,      0.04,      0.00
