nohup: ignoring input
[2023-05-08 21:20:20.095] [info] Retrieval method_name SimpferPP, dataset_name amazon-home-kitchen-32d, topk 100
[2023-05-08 21:20:20.095] [info] dataset_dir /home/zhengbian/Dataset/ReverseMIPS
[2023-05-08 21:20:20.095] [info] index_dir /home/zhengbian/reverse-k-ranks/index
[2023-05-08 21:20:24.596] [info] n_data_item 409243, n_query_item 1000, n_user 2511610, vec_dim 32
[2023-05-08 21:20:24.596] [info] input parameter: simpfer_k_max 521, stop_time 49000s
[2023-05-08 21:20:25.394] [info] finish transform user
[2023-05-08 21:20:25.506] [info] finish transform data item
[2023-05-08 21:25:48.727] [info] finish simpfer preprocessing
[2023-05-08 21:25:52.300] [info] finish preprocess and save the index
[2023-05-08 21:25:52.305] [info] queryID 0, result_size 0, rtk_topk 1, accu_ip_cost 17279, accu_query_time 0.00s,
[2023-05-08 21:25:52.309] [info] queryID 0, result_size 0, rtk_topk 2, accu_ip_cost 30340, accu_query_time 0.01s,
[2023-05-08 21:25:52.312] [info] queryID 0, result_size 0, rtk_topk 4, accu_ip_cost 54760, accu_query_time 0.01s,
[2023-05-08 21:25:52.317] [info] queryID 0, result_size 0, rtk_topk 8, accu_ip_cost 90317, accu_query_time 0.02s,
[2023-05-08 21:25:52.322] [info] queryID 0, result_size 0, rtk_topk 16, accu_ip_cost 151219, accu_query_time 0.02s,
[2023-05-08 21:25:52.338] [info] queryID 0, result_size 0, rtk_topk 32, accu_ip_cost 247382, accu_query_time 0.04s,
[2023-05-08 21:25:52.347] [info] queryID 0, result_size 0, rtk_topk 64, accu_ip_cost 383098, accu_query_time 0.05s,
[2023-05-08 21:25:52.359] [info] queryID 0, result_size 0, rtk_topk 128, accu_ip_cost 564398, accu_query_time 0.06s,
[2023-05-08 21:25:52.375] [info] queryID 0, result_size 0, rtk_topk 256, accu_ip_cost 774262, accu_query_time 0.07s,
[2023-05-08 21:25:52.398] [info] queryID 0, result_size 0, rtk_topk 512, accu_ip_cost 1013393, accu_query_time 0.10s,
[2023-05-08 22:03:39.620] [info] queryID 0, result_size 339706, rtk_topk 1024, accu_ip_cost 2654771770, accu_query_time 2267.32s,
