[2023-05-20 00:31:42.440] [info] Retrieval method_name SimpferPP, dataset_name yelp-32d, topk 100
[2023-05-20 00:31:42.440] [info] dataset_dir /home/zhengbian/Dataset/ReverseMIPS
[2023-05-20 00:31:42.440] [info] index_dir /home/zhengbian/reverse-k-ranks/index
[2023-05-20 00:31:48.168] [info] n_data_item 159585, n_query_item 1000, n_user 2189457, vec_dim 32
[2023-05-20 00:31:48.168] [info] input parameter: simpfer_k_max 625, stop_time 21600s
[2023-05-20 00:31:48.842] [info] finish transform user
[2023-05-20 00:31:48.880] [info] finish transform data item
[2023-05-20 00:59:02.510] [info] finish simpfer preprocessing
[2023-05-20 00:59:04.953] [info] finish preprocess and save the index
[2023-05-20 00:59:04.965] [info] queryID 0, result_size 0, rtk_topk 1, accu_ip_cost 1005924, accu_query_time 0.01s,
[2023-05-20 00:59:04.978] [info] queryID 0, result_size 0, rtk_topk 2, accu_ip_cost 1288736, accu_query_time 0.02s,
[2023-05-20 00:59:04.993] [info] queryID 0, result_size 0, rtk_topk 4, accu_ip_cost 1522146, accu_query_time 0.04s,
[2023-05-20 00:59:05.009] [info] queryID 0, result_size 0, rtk_topk 8, accu_ip_cost 1703502, accu_query_time 0.06s,
[2023-05-20 00:59:05.027] [info] queryID 0, result_size 0, rtk_topk 16, accu_ip_cost 1831648, accu_query_time 0.07s,
[2023-05-20 00:59:05.045] [info] queryID 0, result_size 0, rtk_topk 32, accu_ip_cost 1923278, accu_query_time 0.09s,
[2023-05-20 00:59:05.064] [info] queryID 0, result_size 1, rtk_topk 64, accu_ip_cost 1984342, accu_query_time 0.11s,
[2023-05-20 00:59:05.083] [info] queryID 0, result_size 1, rtk_topk 128, accu_ip_cost 2028100, accu_query_time 0.13s,
[2023-05-20 00:59:05.103] [info] queryID 0, result_size 1, rtk_topk 256, accu_ip_cost 2063800, accu_query_time 0.15s,
[2023-05-20 00:59:05.123] [info] queryID 0, result_size 4, rtk_topk 512, accu_ip_cost 2088348, accu_query_time 0.17s,
[2023-05-20 01:14:07.353] [info] queryID 0, result_size 8, rtk_topk 1024, accu_ip_cost 2314256049, accu_query_time 902.40s,
[2023-05-20 01:31:47.935] [info] queryID 0, result_size 29, rtk_topk 2048, accu_ip_cost 4556260017, accu_query_time 1962.98s,
[2023-05-20 01:53:06.752] [info] queryID 0, result_size 122, rtk_topk 4096, accu_ip_cost 9040267953, accu_query_time 3241.80s,
[2023-05-20 01:53:06.752] [info] queryID 0, result_size 122, rtk_topk 4096, ip_cost 9040267953, query_time 3241.80s, total_ip_cost 9040267953, total_retrieval_time 3241.80s
[2023-05-20 01:53:06.762] [info] queryID 1, result_size 0, rtk_topk 1, accu_ip_cost 1016668, accu_query_time 0.01s,
[2023-05-20 01:53:06.776] [info] queryID 1, result_size 0, rtk_topk 2, accu_ip_cost 1296964, accu_query_time 0.02s,
[2023-05-20 01:53:06.791] [info] queryID 1, result_size 0, rtk_topk 4, accu_ip_cost 1529626, accu_query_time 0.04s,
[2023-05-20 01:53:06.808] [info] queryID 1, result_size 0, rtk_topk 8, accu_ip_cost 1708092, accu_query_time 0.06s,
[2023-05-20 01:53:06.826] [info] queryID 1, result_size 0, rtk_topk 16, accu_ip_cost 1835320, accu_query_time 0.07s,
[2023-05-20 01:53:06.845] [info] queryID 1, result_size 0, rtk_topk 32, accu_ip_cost 1925828, accu_query_time 0.09s,
[2023-05-20 01:53:06.864] [info] queryID 1, result_size 0, rtk_topk 64, accu_ip_cost 1986450, accu_query_time 0.11s,
[2023-05-20 01:53:06.884] [info] queryID 1, result_size 0, rtk_topk 128, accu_ip_cost 2029052, accu_query_time 0.13s,
[2023-05-20 01:53:06.903] [info] queryID 1, result_size 1, rtk_topk 256, accu_ip_cost 2064242, accu_query_time 0.15s,
