queryID,n_prune_user,n_result_user,n_refine_user,ip_cost,io_cost,total_time,memory_index_time,io_time
         0,   2511509,        97,         4,   4148582,         0,      0.16,      0.10,      0.00
         1,   2511508,        98,         4,   4148582,         0,      0.12,      0.08,      0.00
         2,   2511509,        26,        75,  33204835,         0,      0.15,      0.08,      0.00
         3,   2511508,        73,        29,  14379657,         0,      0.11,      0.06,      0.00
         4,   2511510,       100,         0,   2511610,         0,      0.09,      0.07,      0.00
         5,   2511510,       100,         0,   2511610,         0,      0.07,      0.06,      0.00
         6,   2511150,        17,       443, 183806259,         0,      0.34,      0.04,      0.00
         7,   2511509,        97,         4,   4148582,         0,      0.10,      0.06,      0.00
         8,   2511506,        97,         7,   5376311,         0,      0.09,      0.06,      0.00
         9,   2511503,        96,        11,   7013283,         0,      0.11,      0.07,      0.00
        10,   2511510,       100,         0,   2511610,         0,      0.08,      0.06,      0.00
        11,   2511510,       100,         0,   2511610,         0,      0.08,      0.06,      0.00
        12,   2511509,        99,         2,   3330096,         0,      0.08,      0.04,      0.00
        13,   2511506,        98,         6,   4967068,         0,      0.10,      0.07,      0.00
        14,   2511456,        96,        58,  26247704,         0,      0.11,      0.05,      0.00
        15,   2511504,        78,        28,  13970414,         0,      0.10,      0.06,      0.00
        16,   2511510,       100,         0,   2511610,         0,      0.08,      0.06,      0.00
        17,   2511503,        99,         8,   5785554,         0,      0.10,      0.07,      0.00
        18,   2511397,        64,       149,  63488817,         0,      0.17,      0.08,      0.00
        19,   2511510,       100,         0,   2511610,         0,      0.08,      0.06,      0.00
        20,   2511505,        98,         7,   5376311,         0,      0.09,      0.07,      0.00
        21,   2511510,       100,         0,   2511610,         0,      0.08,      0.06,      0.00
        22,   2511508,        99,         3,   3739339,         0,      0.09,      0.06,      0.00
        23,   2511504,        99,         7,   5376311,         0,      0.11,      0.07,      0.00
        24,   2511510,       100,         0,   2511610,         0,      0.07,      0.05,      0.00
        25,   2511508,        92,        10,   6604040,         0,      0.08,      0.05,      0.00
        26,   2511509,        99,         2,   3330096,         0,      0.10,      0.06,      0.00
        27,   2511510,       100,         0,   2511610,         0,      0.08,      0.06,      0.00
        28,   2511509,        99,         2,   3330096,         0,      0.09,      0.05,      0.00
        29,   2511508,        98,         4,   4148582,         0,      0.10,      0.06,      0.00
        30,   2511486,        82,        42,  19699816,         0,      0.13,      0.07,      0.00
        31,   2511507,        99,         4,   4148582,         0,      0.09,      0.06,      0.00
        32,   2511508,        99,         3,   3739339,         0,      0.10,      0.06,      0.00
        33,   2511284,        79,       247, 103594631,         0,      0.25,      0.05,      0.00
        34,   2511510,       100,         0,   2511610,         0,      0.08,      0.06,      0.00
        35,   2511509,        99,         2,   3330096,         0,      0.10,      0.05,      0.00
        36,   2511507,        97,         6,   4967068,         0,      0.09,      0.07,      0.00
        37,   2511466,        82,        62,  27884676,         0,      0.13,      0.07,      0.00
        38,   2511507,        78,        25,  12742685,         0,      0.11,      0.07,      0.00
        39,   2511484,        98,        28,  13970414,         0,      0.11,      0.07,      0.00
        40,   2511510,       100,         0,   2511610,         0,      0.08,      0.07,      0.00
        41,   2511500,        26,        84,  36888022,         0,      0.13,      0.06,      0.00
        42,   2511499,        98,        13,   7831769,         0,      0.11,      0.07,      0.00
        43,   2511506,        98,         6,   4967068,         0,      0.10,      0.06,      0.00
        44,   2511505,        66,        39,  18472087,         0,      0.12,      0.07,      0.00
        45,   2511507,        89,        14,   8241012,         0,      0.10,      0.06,      0.00
        46,   2511510,       100,         0,   2511610,         0,      0.07,      0.05,      0.00
        47,   2511493,        95,        22,  11514956,         0,      0.10,      0.06,      0.00
        48,   2509828,        72,      1710, 702317140,         0,      1.02,      0.05,      0.00
        49,   2511507,        97,         6,   4967068,         0,      0.09,      0.06,      0.00
        50,   2511510,       100,         0,   2511610,         0,      0.08,      0.07,      0.00
        51,   2511506,        96,         8,   5785554,         0,      0.09,      0.06,      0.00
        52,   2511510,       100,         0,   2511610,         0,      0.06,      0.05,      0.00
        53,   2511509,        97,         4,   4148582,         0,      0.09,      0.06,      0.00
        54,   2511507,        98,         5,   4557825,         0,      0.10,      0.07,      0.00
        55,   2511510,       100,         0,   2511610,         0,      0.08,      0.06,      0.00
        56,   2511510,       100,         0,   2511610,         0,      0.07,      0.05,      0.00
        57,   2511510,       100,         0,   2511610,         0,      0.08,      0.05,      0.00
        58,   2511497,        97,        16,   9059498,         0,      0.12,      0.08,      0.00
        59,   2510996,         0,       614, 253786812,         0,      0.31,      0.08,      0.00
        60,   2511510,       100,         0,   2511610,         0,      0.08,      0.06,      0.00
        61,   2511447,         1,       162,  68808976,         0,      0.22,      0.05,      0.00
        62,   2511510,       100,         0,   2511610,         0,      0.08,      0.06,      0.00
        63,   2511508,        99,         3,   3739339,         0,      0.10,      0.06,      0.00
        64,   2511510,       100,         0,   2511610,         0,      0.06,      0.05,      0.00
        65,   2511505,        99,         6,   4967068,         0,      0.09,      0.06,      0.00
        66,   2511504,        34,        72,  31977106,         0,      0.16,      0.05,      0.00
        67,   2511510,       100,         0,   2511610,         0,      0.08,      0.06,      0.00
        68,   2511509,        99,         2,   3330096,         0,      0.09,      0.06,      0.00
        69,   2511509,        98,         3,   3739339,         0,      0.09,      0.05,      0.00
        70,   2511506,        99,         5,   4557825,         0,      0.09,      0.06,      0.00
        71,   2511508,        99,         3,   3739339,         0,      0.08,      0.05,      0.00
        72,   2511510,       100,         0,   2511610,         0,      0.09,      0.07,      0.00
        73,   2511510,       100,         0,   2511610,         0,      0.07,      0.06,      0.00
        74,   2511508,        94,         8,   5785554,         0,      0.11,      0.06,      0.00
        75,   2511507,        99,         4,   4148582,         0,      0.10,      0.06,      0.00
        76,   2511510,       100,         0,   2511610,         0,      0.07,      0.05,      0.00
        77,   2511510,       100,         0,   2511610,         0,      0.08,      0.06,      0.00
        78,   2511506,        90,        14,   8241012,         0,      0.12,      0.08,      0.00
        79,   2511510,       100,         0,   2511610,         0,      0.07,      0.06,      0.00
        80,   2511469,        94,        47,  21746031,         0,      0.13,      0.07,      0.00
        81,   2511509,        99,         2,   3330096,         0,      0.09,      0.05,      0.00
        82,   2511510,       100,         0,   2511610,         0,      0.08,      0.06,      0.00
        83,   2511501,        99,        10,   6604040,         0,      0.09,      0.05,      0.00
        84,   2511502,        98,        10,   6604040,         0,      0.10,      0.07,      0.00
        85,   2511510,       100,         0,   2511610,         0,      0.07,      0.06,      0.00
        86,   2511510,       100,         0,   2511610,         0,      0.07,      0.05,      0.00
        87,   2511510,       100,         0,   2511610,         0,      0.07,      0.06,      0.00
        88,   2511477,        62,        71,  31567863,         0,      0.11,      0.04,      0.00
        89,   2511502,        95,        13,   7831769,         0,      0.10,      0.06,      0.00
        90,   2511510,       100,         0,   2511610,         0,      0.07,      0.06,      0.00
        91,   2511510,       100,         0,   2511610,         0,      0.07,      0.05,      0.00
        92,   2511510,       100,         0,   2511610,         0,      0.07,      0.05,      0.00
        93,   2511427,        91,        92,  40161966,         0,      0.13,      0.06,      0.00
        94,   2510752,         0,       858, 353642104,         0,      0.48,      0.05,      0.00
        95,   2511508,        95,         7,   5376311,         0,      0.11,      0.07,      0.00
        96,   2511507,        95,         8,   5785554,         0,      0.12,      0.08,      0.00
        97,   2511510,       100,         0,   2511610,         0,      0.08,      0.06,      0.00
        98,   2511508,        98,         4,   4148582,         0,      0.09,      0.05,      0.00
        99,   2511509,        98,         3,   3739339,         0,      0.10,      0.06,      0.00
       100,   2511501,        95,        14,   8241012,         0,      0.10,      0.06,      0.00
       101,   2508652,        34,      2924,1199138142,         0,      1.70,      0.06,      0.00
       102,   2511510,       100,         0,   2511610,         0,      0.09,      0.08,      0.00
       103,   2511510,       100,         0,   2511610,         0,      0.10,      0.08,      0.00
       104,   2511503,        98,         9,   6194797,         0,      0.12,      0.08,      0.00
