[2023-05-06 23:46:23.417] [info] Retrieval method_name SimpferPP, dataset_name amazon-home-kitchen-150d, topk 200
[2023-05-06 23:46:23.417] [info] dataset_dir /home/zhengbian/Dataset/ReverseMIPS
[2023-05-06 23:46:23.417] [info] index_dir /home/zhengbian/reverse-k-ranks/index
[2023-05-06 23:46:28.705] [info] n_data_item 409243, n_query_item 1000, n_user 2511610, vec_dim 150
[2023-05-06 23:46:28.706] [info] input parameter: simpfer_k_max 501, stop_time 126000s
[2023-05-06 23:46:30.115] [info] finish transform user
[2023-05-06 23:46:30.362] [info] finish transform data item
[2023-05-06 23:59:10.374] [info] finish simpfer preprocessing
[2023-05-06 23:59:28.676] [info] finish preprocess and save the index
[2023-05-06 23:59:28.726] [info] queryID 0, result_size 0, rtk_topk 1, accu_ip_cost 4292, accu_query_time 0.05s,
[2023-05-06 23:59:28.730] [info] queryID 0, result_size 0, rtk_topk 2, accu_ip_cost 7955, accu_query_time 0.05s,
[2023-05-06 23:59:28.734] [info] queryID 0, result_size 0, rtk_topk 4, accu_ip_cost 13542, accu_query_time 0.06s,
[2023-05-06 23:59:28.738] [info] queryID 0, result_size 0, rtk_topk 8, accu_ip_cost 23828, accu_query_time 0.06s,
[2023-05-06 23:59:28.742] [info] queryID 0, result_size 0, rtk_topk 16, accu_ip_cost 41107, accu_query_time 0.07s,
[2023-05-06 23:59:28.749] [info] queryID 0, result_size 0, rtk_topk 32, accu_ip_cost 69190, accu_query_time 0.07s,
[2023-05-06 23:59:28.758] [info] queryID 0, result_size 0, rtk_topk 64, accu_ip_cost 115736, accu_query_time 0.08s,
[2023-05-06 23:59:28.773] [info] queryID 0, result_size 0, rtk_topk 128, accu_ip_cost 190106, accu_query_time 0.10s,
[2023-05-06 23:59:28.795] [info] queryID 0, result_size 0, rtk_topk 256, accu_ip_cost 294890, accu_query_time 0.12s,
[2023-05-07 01:28:44.984] [info] queryID 0, result_size 106784, rtk_topk 512, accu_ip_cost 1665197430, accu_query_time 5356.31s,
[2023-05-07 01:28:44.984] [info] queryID 0, result_size 106784, rtk_topk 512, ip_cost 1665197430, query_time 5356.31s, total_ip_cost 1665197430, total_retrieval_time 5356.31s
[2023-05-07 01:28:45.069] [info] queryID 1, result_size 0, rtk_topk 1, accu_ip_cost 167758, accu_query_time 0.08s,
[2023-05-07 01:28:45.103] [info] queryID 1, result_size 0, rtk_topk 2, accu_ip_cost 249676, accu_query_time 0.12s,
[2023-05-07 01:28:45.136] [info] queryID 1, result_size 0, rtk_topk 4, accu_ip_cost 371887, accu_query_time 0.15s,
[2023-05-07 01:28:45.177] [info] queryID 1, result_size 0, rtk_topk 8, accu_ip_cost 515706, accu_query_time 0.19s,
[2023-05-07 01:28:45.227] [info] queryID 1, result_size 0, rtk_topk 16, accu_ip_cost 698893, accu_query_time 0.24s,
[2023-05-07 01:28:45.292] [info] queryID 1, result_size 0, rtk_topk 32, accu_ip_cost 925777, accu_query_time 0.31s,
[2023-05-07 01:28:45.366] [info] queryID 1, result_size 0, rtk_topk 64, accu_ip_cost 1174010, accu_query_time 0.38s,
[2023-05-07 01:28:45.460] [info] queryID 1, result_size 0, rtk_topk 128, accu_ip_cost 1433565, accu_query_time 0.48s,
[2023-05-07 01:28:45.571] [info] queryID 1, result_size 0, rtk_topk 256, accu_ip_cost 1680688, accu_query_time 0.59s,
[2023-05-07 02:57:14.061] [info] queryID 1, result_size 568078, rtk_topk 512, accu_ip_cost 1665197430, accu_query_time 5309.08s,
[2023-05-07 02:57:14.061] [info] queryID 1, result_size 568078, rtk_topk 512, ip_cost 1665197430, query_time 5309.08s, total_ip_cost 3330394860, total_retrieval_time 10665.38s
[2023-05-07 02:57:14.142] [info] queryID 2, result_size 0, rtk_topk 1, accu_ip_cost 135161, accu_query_time 0.08s,
[2023-05-07 02:57:14.162] [info] queryID 2, result_size 0, rtk_topk 2, accu_ip_cost 204018, accu_query_time 0.10s,
[2023-05-07 02:57:14.193] [info] queryID 2, result_size 0, rtk_topk 4, accu_ip_cost 311170, accu_query_time 0.13s,
[2023-05-07 02:57:14.231] [info] queryID 2, result_size 0, rtk_topk 8, accu_ip_cost 435601, accu_query_time 0.17s,
[2023-05-07 02:57:14.280] [info] queryID 2, result_size 0, rtk_topk 16, accu_ip_cost 605024, accu_query_time 0.22s,
[2023-05-07 02:57:14.342] [info] queryID 2, result_size 0, rtk_topk 32, accu_ip_cost 813075, accu_query_time 0.28s,
