[2023-05-06 11:30:45.860] [info] Retrieval method_name SimpferPP, dataset_name yahoomusic_big-150d, topk 200
[2023-05-06 11:30:45.860] [info] dataset_dir /home/zhengbian/Dataset/ReverseMIPS
[2023-05-06 11:30:45.860] [info] index_dir /home/zhengbian/reverse-k-ranks/index
[2023-05-06 11:30:49.560] [info] n_data_item 135736, n_query_item 1000, n_user 1823179, vec_dim 150
[2023-05-06 11:30:49.560] [info] input parameter: simpfer_k_max 731, stop_time 39600s
[2023-05-06 11:30:50.539] [info] finish transform user
[2023-05-06 11:30:50.625] [info] finish transform data item
[2023-05-06 12:40:55.368] [info] finish simpfer preprocessing
[2023-05-06 12:41:03.217] [info] finish preprocess and save the index
[2023-05-06 12:41:03.469] [info] queryID 0, result_size 0, rtk_topk 1, accu_ip_cost 1822196, accu_query_time 0.25s,
[2023-05-06 12:41:03.516] [info] queryID 0, result_size 0, rtk_topk 2, accu_ip_cost 1822842, accu_query_time 0.30s,
[2023-05-06 12:41:03.563] [info] queryID 0, result_size 0, rtk_topk 4, accu_ip_cost 1823114, accu_query_time 0.35s,
[2023-05-06 12:41:03.610] [info] queryID 0, result_size 0, rtk_topk 8, accu_ip_cost 1823148, accu_query_time 0.39s,
[2023-05-06 12:41:03.657] [info] queryID 0, result_size 0, rtk_topk 16, accu_ip_cost 1823148, accu_query_time 0.44s,
[2023-05-06 12:41:03.705] [info] queryID 0, result_size 0, rtk_topk 32, accu_ip_cost 1823148, accu_query_time 0.49s,
[2023-05-06 12:41:03.752] [info] queryID 0, result_size 0, rtk_topk 64, accu_ip_cost 1823148, accu_query_time 0.53s,
[2023-05-06 12:41:03.801] [info] queryID 0, result_size 9, rtk_topk 128, accu_ip_cost 1823148, accu_query_time 0.58s,
[2023-05-06 12:41:03.852] [info] queryID 0, result_size 119, rtk_topk 256, accu_ip_cost 1823148, accu_query_time 0.63s,
[2023-05-06 12:41:07.705] [info] queryID 0, result_size 918, rtk_topk 512, accu_ip_cost 1823148, accu_query_time 4.49s,
[2023-05-06 12:41:07.705] [info] queryID 0, result_size 918, rtk_topk 512, ip_cost 1823148, query_time 4.49s, total_ip_cost 1823148, total_retrieval_time 4.49s
[2023-05-06 12:41:07.751] [info] queryID 1, result_size 0, rtk_topk 1, accu_ip_cost 1798464, accu_query_time 0.05s,
[2023-05-06 12:41:07.797] [info] queryID 1, result_size 0, rtk_topk 2, accu_ip_cost 1814920, accu_query_time 0.09s,
[2023-05-06 12:41:07.844] [info] queryID 1, result_size 0, rtk_topk 4, accu_ip_cost 1821108, accu_query_time 0.14s,
[2023-05-06 12:41:07.891] [info] queryID 1, result_size 0, rtk_topk 8, accu_ip_cost 1822706, accu_query_time 0.19s,
[2023-05-06 12:41:07.938] [info] queryID 1, result_size 2, rtk_topk 16, accu_ip_cost 1823148, accu_query_time 0.23s,
[2023-05-06 12:41:07.985] [info] queryID 1, result_size 6, rtk_topk 32, accu_ip_cost 1823148, accu_query_time 0.28s,
[2023-05-06 12:41:08.032] [info] queryID 1, result_size 29, rtk_topk 64, accu_ip_cost 1823148, accu_query_time 0.33s,
[2023-05-06 12:41:08.078] [info] queryID 1, result_size 82, rtk_topk 128, accu_ip_cost 1823148, accu_query_time 0.37s,
[2023-05-06 12:41:10.234] [info] queryID 1, result_size 287, rtk_topk 256, accu_ip_cost 1823148, accu_query_time 2.53s,
[2023-05-06 12:41:10.234] [info] queryID 1, result_size 287, rtk_topk 256, ip_cost 1823148, query_time 2.53s, total_ip_cost 3646296, total_retrieval_time 7.02s
[2023-05-06 12:41:10.287] [info] queryID 2, result_size 0, rtk_topk 1, accu_ip_cost 1350514, accu_query_time 0.05s,
[2023-05-06 12:41:10.324] [info] queryID 2, result_size 0, rtk_topk 2, accu_ip_cost 1518474, accu_query_time 0.09s,
[2023-05-06 12:41:10.366] [info] queryID 2, result_size 0, rtk_topk 4, accu_ip_cost 1651754, accu_query_time 0.13s,
[2023-05-06 12:41:10.410] [info] queryID 2, result_size 0, rtk_topk 8, accu_ip_cost 1740222, accu_query_time 0.18s,
[2023-05-06 12:41:10.456] [info] queryID 2, result_size 0, rtk_topk 16, accu_ip_cost 1794656, accu_query_time 0.22s,
[2023-05-06 12:41:10.502] [info] queryID 2, result_size 3, rtk_topk 32, accu_ip_cost 1816416, accu_query_time 0.27s,
[2023-05-06 12:41:10.549] [info] queryID 2, result_size 10, rtk_topk 64, accu_ip_cost 1822332, accu_query_time 0.31s,
[2023-05-06 12:41:10.595] [info] queryID 2, result_size 51, rtk_topk 128, accu_ip_cost 1823148, accu_query_time 0.36s,
[2023-05-06 12:41:10.642] [info] queryID 2, result_size 206, rtk_topk 256, accu_ip_cost 1823148, accu_query_time 0.41s,
[2023-05-06 12:41:10.642] [info] queryID 2, result_size 206, rtk_topk 256, ip_cost 1823148, query_time 0.41s, total_ip_cost 5469444, total_retrieval_time 7.42s
[2023-05-06 12:41:10.689] [info] queryID 3, result_size 0, rtk_topk 1, accu_ip_cost 1819884, accu_query_time 0.05s,
[2023-05-06 12:41:10.735] [info] queryID 3, result_size 0, rtk_topk 2, accu_ip_cost 1822434, accu_query_time 0.09s,
[2023-05-06 12:41:10.782] [info] queryID 3, result_size 0, rtk_topk 4, accu_ip_cost 1822910, accu_query_time 0.14s,
[2023-05-06 12:41:10.829] [info] queryID 3, result_size 0, rtk_topk 8, accu_ip_cost 1823114, accu_query_time 0.19s,
[2023-05-06 12:41:10.876] [info] queryID 3, result_size 0, rtk_topk 16, accu_ip_cost 1823148, accu_query_time 0.23s,
