[2023-05-08 04:28:43.623] [info] Retrieval method_name SimpferPP, dataset_name yelp-150d, topk 200
[2023-05-08 04:28:43.623] [info] dataset_dir /home/zhengbian/Dataset/ReverseMIPS
[2023-05-08 04:28:43.623] [info] index_dir /home/zhengbian/reverse-k-ranks/index
[2023-05-08 04:28:48.168] [info] n_data_item 159585, n_query_item 1000, n_user 2189457, vec_dim 150
[2023-05-08 04:28:48.168] [info] input parameter: simpfer_k_max 605, stop_time 39600s
[2023-05-08 04:28:49.428] [info] finish transform user
[2023-05-08 04:28:49.525] [info] finish transform data item
[2023-05-08 06:06:40.919] [info] finish simpfer preprocessing
[2023-05-08 06:06:50.749] [info] finish preprocess and save the index
[2023-05-08 06:06:50.995] [info] queryID 0, result_size 0, rtk_topk 1, accu_ip_cost 2147236, accu_query_time 0.25s,
[2023-05-08 06:06:51.054] [info] queryID 0, result_size 1, rtk_topk 2, accu_ip_cost 2162434, accu_query_time 0.30s,
[2023-05-08 06:06:51.113] [info] queryID 0, result_size 2, rtk_topk 4, accu_ip_cost 2171954, accu_query_time 0.36s,
[2023-05-08 06:06:51.171] [info] queryID 0, result_size 2, rtk_topk 8, accu_ip_cost 2181066, accu_query_time 0.42s,
[2023-05-08 06:06:51.230] [info] queryID 0, result_size 5, rtk_topk 16, accu_ip_cost 2188988, accu_query_time 0.48s,
[2023-05-08 06:06:51.289] [info] queryID 0, result_size 9, rtk_topk 32, accu_ip_cost 2189430, accu_query_time 0.54s,
[2023-05-08 06:06:51.348] [info] queryID 0, result_size 43, rtk_topk 64, accu_ip_cost 2189430, accu_query_time 0.60s,
[2023-05-08 06:06:51.408] [info] queryID 0, result_size 152, rtk_topk 128, accu_ip_cost 2189430, accu_query_time 0.66s,
[2023-05-08 06:06:53.466] [info] queryID 0, result_size 510, rtk_topk 256, accu_ip_cost 2189430, accu_query_time 2.72s,
[2023-05-08 06:06:53.466] [info] queryID 0, result_size 510, rtk_topk 256, ip_cost 2189430, query_time 2.72s, total_ip_cost 2189430, total_retrieval_time 2.72s
[2023-05-08 06:06:53.526] [info] queryID 1, result_size 0, rtk_topk 1, accu_ip_cost 2071688, accu_query_time 0.06s,
[2023-05-08 06:06:53.582] [info] queryID 1, result_size 0, rtk_topk 2, accu_ip_cost 2116092, accu_query_time 0.12s,
[2023-05-08 06:06:53.638] [info] queryID 1, result_size 0, rtk_topk 4, accu_ip_cost 2138804, accu_query_time 0.17s,
[2023-05-08 06:06:53.696] [info] queryID 1, result_size 0, rtk_topk 8, accu_ip_cost 2154478, accu_query_time 0.23s,
