[2023-05-23 07:37:57.056] [info] SimpferPPBelowKMax dataset_name amazon-home-kitchen-150d, topk 100
[2023-05-23 07:37:57.056] [info] dataset_dir /home/zhengbian/Dataset/ReverseMIPS
[2023-05-23 07:37:57.056] [info] index_dir /home/zhengbian/reverse-k-ranks/index
[2023-05-23 07:38:00.724] [info] n_data_item 409243, n_query_item 1000, n_user 2511610, vec_dim 150
[2023-05-23 07:38:00.724] [info] input parameter: simpfer_k_max 2082, stop_time 3600s
[2023-05-23 07:46:13.386] [info] finish preprocess and save the index
[2023-05-23 07:46:13.427] [info] queryID 0, result_size 0, rtk_topk 1, accu_ip_cost 4255, accu_query_time 0.04s,
[2023-05-23 07:46:13.446] [info] queryID 0, result_size 0, rtk_topk 2, accu_ip_cost 7844, accu_query_time 0.06s,
[2023-05-23 07:46:13.463] [info] queryID 0, result_size 0, rtk_topk 4, accu_ip_cost 13431, accu_query_time 0.08s,
[2023-05-23 07:46:13.474] [info] queryID 0, result_size 0, rtk_topk 8, accu_ip_cost 23717, accu_query_time 0.09s,
[2023-05-23 07:46:13.483] [info] queryID 0, result_size 0, rtk_topk 16, accu_ip_cost 40898, accu_query_time 0.10s,
[2023-05-23 07:46:13.486] [info] queryID 0, result_size 0, rtk_topk 32, accu_ip_cost 69314, accu_query_time 0.10s,
[2023-05-23 07:46:13.491] [info] queryID 0, result_size 0, rtk_topk 64, accu_ip_cost 116304, accu_query_time 0.10s,
[2023-05-23 07:46:13.496] [info] queryID 0, result_size 0, rtk_topk 128, accu_ip_cost 190378, accu_query_time 0.11s,
[2023-05-23 07:46:13.502] [info] queryID 0, result_size 0, rtk_topk 256, accu_ip_cost 296198, accu_query_time 0.12s,
[2023-05-23 07:46:13.512] [info] queryID 0, result_size 0, rtk_topk 512, accu_ip_cost 447306, accu_query_time 0.13s,
[2023-05-23 07:46:13.528] [info] queryID 0, result_size 0, rtk_topk 1024, accu_ip_cost 651953, accu_query_time 0.14s,
[2023-05-23 07:46:13.553] [info] queryID 0, result_size 0, rtk_topk 2048, accu_ip_cost 913395, accu_query_time 0.17s,
[2023-05-23 07:46:13.553] [info] queryID 0, result_size 0, rtk_topk 4096, accu_ip_cost 0, accu_query_time 0.17s,
[2023-05-23 07:46:13.553] [info] queryID 0, result_size 0, rtk_topk 8192, accu_ip_cost 0, accu_query_time 0.17s,
