[2023-05-23 07:49:55.028] [info] SimpferPPBelowKMax dataset_name yelp-150d, topk 100
[2023-05-23 07:49:55.029] [info] dataset_dir /home/zhengbian/Dataset/ReverseMIPS
[2023-05-23 07:49:55.029] [info] index_dir /home/zhengbian/reverse-k-ranks/index
[2023-05-23 07:49:58.033] [info] n_data_item 159585, n_query_item 1000, n_user 2189457, vec_dim 150
[2023-05-23 07:49:58.033] [info] input parameter: simpfer_k_max 2498, stop_time 3600s
[2023-05-23 08:15:11.407] [info] finish preprocess and save the index
[2023-05-23 08:15:11.468] [info] queryID 0, result_size 0, rtk_topk 1, accu_ip_cost 2136179, accu_query_time 0.06s,
[2023-05-23 08:15:11.506] [info] queryID 0, result_size 1, rtk_topk 2, accu_ip_cost 2154165, accu_query_time 0.10s,
[2023-05-23 08:15:11.543] [info] queryID 0, result_size 2, rtk_topk 4, accu_ip_cost 2166337, accu_query_time 0.14s,
[2023-05-23 08:15:11.581] [info] queryID 0, result_size 2, rtk_topk 8, accu_ip_cost 2178611, accu_query_time 0.17s,
[2023-05-23 08:15:11.618] [info] queryID 0, result_size 5, rtk_topk 16, accu_ip_cost 2188743, accu_query_time 0.21s,
[2023-05-23 08:15:11.656] [info] queryID 0, result_size 9, rtk_topk 32, accu_ip_cost 2189457, accu_query_time 0.25s,
[2023-05-23 08:15:11.693] [info] queryID 0, result_size 43, rtk_topk 64, accu_ip_cost 2189457, accu_query_time 0.29s,
[2023-05-23 08:15:11.731] [info] queryID 0, result_size 152, rtk_topk 128, accu_ip_cost 2189457, accu_query_time 0.32s,
[2023-05-23 08:15:11.731] [info] queryID 0, result_size 152, rtk_topk 128, ip_cost 2189457, query_time 0.32s, total_ip_cost 2189457, total_retrieval_time 0.32s
[2023-05-23 08:15:11.766] [info] queryID 1, result_size 0, rtk_topk 1, accu_ip_cost 2055837, accu_query_time 0.03s,
[2023-05-23 08:15:11.802] [info] queryID 1, result_size 0, rtk_topk 2, accu_ip_cost 2099187, accu_query_time 0.07s,
[2023-05-23 08:15:11.838] [info] queryID 1, result_size 0, rtk_topk 4, accu_ip_cost 2126557, accu_query_time 0.11s,
[2023-05-23 08:15:11.875] [info] queryID 1, result_size 0, rtk_topk 8, accu_ip_cost 2145461, accu_query_time 0.14s,
[2023-05-23 08:15:11.911] [info] queryID 1, result_size 2, rtk_topk 16, accu_ip_cost 2156987, accu_query_time 0.18s,
[2023-05-23 08:15:11.948] [info] queryID 1, result_size 6, rtk_topk 32, accu_ip_cost 2167459, accu_query_time 0.22s,
[2023-05-23 08:15:11.985] [info] queryID 1, result_size 10, rtk_topk 64, accu_ip_cost 2177965, accu_query_time 0.25s,
[2023-05-23 08:15:12.022] [info] queryID 1, result_size 21, rtk_topk 128, accu_ip_cost 2188539, accu_query_time 0.29s,
[2023-05-23 08:15:12.061] [info] queryID 1, result_size 41, rtk_topk 256, accu_ip_cost 2189457, accu_query_time 0.33s,
[2023-05-23 08:15:12.103] [info] queryID 1, result_size 100, rtk_topk 512, accu_ip_cost 2189457, accu_query_time 0.37s,
[2023-05-23 08:15:12.103] [info] queryID 1, result_size 100, rtk_topk 512, ip_cost 2189457, query_time 0.37s, total_ip_cost 4378914, total_retrieval_time 0.70s
[2023-05-23 08:15:12.138] [info] queryID 2, result_size 0, rtk_topk 1, accu_ip_cost 2074333, accu_query_time 0.04s,
[2023-05-23 08:15:12.174] [info] queryID 2, result_size 0, rtk_topk 2, accu_ip_cost 2113059, accu_query_time 0.07s,
[2023-05-23 08:15:12.210] [info] queryID 2, result_size 0, rtk_topk 4, accu_ip_cost 2136655, accu_query_time 0.11s,
[2023-05-23 08:15:12.247] [info] queryID 2, result_size 0, rtk_topk 8, accu_ip_cost 2151751, accu_query_time 0.14s,
[2023-05-23 08:15:12.283] [info] queryID 2, result_size 1, rtk_topk 16, accu_ip_cost 2162393, accu_query_time 0.18s,
[2023-05-23 08:15:12.320] [info] queryID 2, result_size 8, rtk_topk 32, accu_ip_cost 2173035, accu_query_time 0.22s,
[2023-05-23 08:15:12.357] [info] queryID 2, result_size 20, rtk_topk 64, accu_ip_cost 2184561, accu_query_time 0.25s,
[2023-05-23 08:15:12.394] [info] queryID 2, result_size 59, rtk_topk 128, accu_ip_cost 2189457, accu_query_time 0.29s,
[2023-05-23 08:15:12.431] [info] queryID 2, result_size 176, rtk_topk 256, accu_ip_cost 2189457, accu_query_time 0.33s,
[2023-05-23 08:15:12.431] [info] queryID 2, result_size 176, rtk_topk 256, ip_cost 2189457, query_time 0.33s, total_ip_cost 6568371, total_retrieval_time 1.02s
[2023-05-23 08:15:12.460] [info] queryID 3, result_size 0, rtk_topk 1, accu_ip_cost 1764967, accu_query_time 0.03s,
[2023-05-23 08:15:12.492] [info] queryID 3, result_size 0, rtk_topk 2, accu_ip_cost 1906951, accu_query_time 0.06s,
[2023-05-23 08:15:12.525] [info] queryID 3, result_size 0, rtk_topk 4, accu_ip_cost 1996813, accu_query_time 0.09s,
[2023-05-23 08:15:12.560] [info] queryID 3, result_size 0, rtk_topk 8, accu_ip_cost 2054647, accu_query_time 0.13s,
[2023-05-23 08:15:12.595] [info] queryID 3, result_size 0, rtk_topk 16, accu_ip_cost 2092353, accu_query_time 0.16s,
[2023-05-23 08:15:12.631] [info] queryID 3, result_size 0, rtk_topk 32, accu_ip_cost 2118635, accu_query_time 0.20s,
[2023-05-23 08:15:12.667] [info] queryID 3, result_size 0, rtk_topk 64, accu_ip_cost 2139103, accu_query_time 0.24s,
