queryID,n_prune_user,n_result_user,n_refine_user,ip_cost,io_cost,total_time,memory_index_time,io_time
         0,         0,       200,         0,   2189457,         0,      0.20,      0.20,      0.00
         1,   2189257,       200,         0,   2189457,         0,      0.09,      0.09,      0.00
         2,         0,       200,         0,   2189457,         0,      0.15,      0.14,      0.00
         3,         0,       200,         0,   2189457,         0,      0.13,      0.13,      0.00
         4,         0,       200,         0,   2189457,         0,      0.10,      0.10,      0.00
         5,         0,       200,         0,   2189457,         0,      0.09,      0.09,      0.00
         6,         0,       200,         0,   2189457,         0,      0.09,      0.09,      0.00
         7,         0,       200,         0,   2189457,         0,      0.09,      0.08,      0.00
         8,         0,       200,         0,   2189457,         0,      0.09,      0.09,      0.00
         9,         0,       200,         0,   2189457,         0,      0.10,      0.10,      0.00
        10,         0,       200,         0,   2189457,         0,      0.10,      0.10,      0.00
        11,         0,       200,         0,   2189457,         0,      0.11,      0.11,      0.00
        12,   2189257,       200,         0,   2189457,         0,      0.11,      0.11,      0.00
        13,         0,       200,         0,   2189457,         0,      0.13,      0.12,      0.00
        14,         0,       200,         0,   2189457,         0,      0.12,      0.11,      0.00
        15,         0,       200,         0,   2189457,         0,      0.09,      0.08,      0.00
        16,   2189254,       199,         4,   2349295,         0,      0.13,      0.11,      0.00
        17,         0,       200,         0,   2189457,         0,      0.12,      0.12,      0.00
        18,         0,       200,         0,   2189457,         0,      0.09,      0.09,      0.00
        19,         0,       200,         0,   2189457,         0,      0.14,      0.13,      0.00
        20,         0,       200,         0,   2189457,         0,      0.11,      0.11,      0.00
        21,         0,       200,         0,   2189457,         0,      0.10,      0.10,      0.00
        22,         0,       200,         0,   2189457,         0,      0.10,      0.10,      0.00
        23,         0,       200,         0,   2189457,         0,      0.13,      0.13,      0.00
        24,         0,       200,         0,   2189457,         0,      0.10,      0.10,      0.00
        25,         0,       200,         0,   2189457,         0,      0.11,      0.10,      0.00
        26,         0,       200,         0,   2189457,         0,      0.13,      0.12,      0.00
        27,         0,       200,         0,   2189457,         0,      0.10,      0.10,      0.00
        28,         0,       200,         0,   2189457,         0,      0.11,      0.11,      0.00
        29,         0,       200,         0,   2189457,         0,      0.12,      0.12,      0.00
        30,         0,       200,         0,   2189457,         0,      0.12,      0.12,      0.00
        31,         0,       200,         0,   2189457,         0,      0.12,      0.12,      0.00
        32,         0,       200,         0,   2189457,         0,      0.13,      0.13,      0.00
        33,         0,       200,         0,   2189457,         0,      0.11,      0.10,      0.00
        34,         0,       200,         0,   2189457,         0,      0.12,      0.12,      0.00
        35,         0,       200,         0,   2189457,         0,      0.12,      0.11,      0.00
        36,         0,       200,         0,   2189457,         0,      0.12,      0.12,      0.00
        37,         0,       200,         0,   2189457,         0,      0.12,      0.12,      0.00
        38,         0,       200,         0,   2189457,         0,      0.10,      0.10,      0.00
        39,         0,       200,         0,   2189457,         0,      0.09,      0.09,      0.00
        40,         0,       200,         0,   2189457,         0,      0.11,      0.10,      0.00
        41,         0,       200,         0,   2189457,         0,      0.10,      0.09,      0.00
        42,         0,       200,         0,   2189457,         0,      0.15,      0.15,      0.00
        43,         0,       200,         0,   2189457,         0,      0.12,      0.12,      0.00
        44,         0,       200,         0,   2189457,         0,      0.15,      0.15,      0.00
        45,         0,       200,         0,   2189457,         0,      0.13,      0.12,      0.00
        46,         0,       200,         0,   2189457,         0,      0.12,      0.12,      0.00
        47,   2189256,       199,         2,   2277543,         0,      0.12,      0.09,      0.00
        48,         0,       200,         0,   2189457,         0,      0.12,      0.11,      0.00
        49,         0,       200,         0,   2189457,         0,      0.10,      0.10,      0.00
        50,         0,       200,         0,   2189457,         0,      0.12,      0.12,      0.00
        51,         0,       200,         0,   2189457,         0,      0.12,      0.12,      0.00
        52,         0,       200,         0,   2189457,         0,      0.12,      0.11,      0.00
        53,         0,       200,         0,   2189457,         0,      0.10,      0.09,      0.00
        54,         0,       200,         0,   2189457,         0,      0.10,      0.09,      0.00
