queryID,n_prune_user,n_result_user,n_refine_user,ip_cost,io_cost,total_time,memory_index_time,io_time
         0,   2189357,       100,         0,     80898,         0,      0.29,      0.28,      0.00
         1,   2189357,       100,         0,     19694,         0,      0.24,      0.22,      0.00
         2,   1498947,       100,         0,    690510,         0,      0.63,      0.62,      0.00
         3,   1685359,       100,         0,    504098,         0,      0.43,      0.42,      0.00
         4,   2189356,        99,         2,    405603,         0,      0.41,      0.33,      0.00
         5,   2189357,       100,         0,    420805,         0,      0.36,      0.36,      0.00
         6,   2189357,       100,         0,    195006,         0,      0.37,      0.36,      0.00
         7,   1882187,       100,         0,    307270,         0,      0.39,      0.38,      0.00
         8,   1571389,       100,         0,    618068,         0,      0.56,      0.54,      0.00
         9,   1932387,       100,         0,    257070,         0,      0.36,      0.35,      0.00
        10,   1636069,       100,         0,    553388,         0,      0.62,      0.61,      0.00
        11,   2189355,        99,         3,    227909,         0,      0.36,      0.26,      0.00
        12,   2189357,       100,         0,    262768,         0,      0.33,      0.33,      0.00
        13,    837379,       100,         0,   1352078,         0,      1.41,      1.40,      0.00
        14,   1840652,       100,         0,    348805,         0,      0.38,      0.37,      0.00
        15,   1473668,       100,         0,    715789,         0,      0.62,      0.60,      0.00
        16,   2189357,       100,         0,    260183,         0,      0.39,      0.38,      0.00
        17,   1936659,       100,         0,    252798,         0,      0.31,      0.30,      0.00
        18,   1921798,       100,         0,    267659,         0,      0.34,      0.33,      0.00
        19,   1228418,       100,         0,    961039,         0,      0.97,      0.96,      0.00
        20,   2167303,       100,         0,     22154,         0,      0.26,      0.24,      0.00
        21,   1943029,       100,         0,    246428,         0,      0.36,      0.35,      0.00
        22,   1759736,       100,         0,    429721,         0,      0.45,      0.44,      0.00
        23,   1600142,       100,         0,    589315,         0,      0.74,      0.72,      0.00
        24,   2124536,       100,         0,     64921,         0,      0.29,      0.28,      0.00
        25,   2150626,       100,         0,     38831,         0,      0.25,      0.24,      0.00
        26,   2003741,       100,         0,    185716,         0,      0.40,      0.39,      0.00
        27,   2189356,        99,         2,    183476,         0,      0.34,      0.27,      0.00
        28,   2169148,       100,         0,     20309,         0,      0.22,      0.22,      0.00
        29,   2189356,        99,         2,     65368,         0,      0.30,      0.22,      0.00
        30,   2189357,       100,         0,    138616,         0,      0.32,      0.31,      0.00
        31,   1876930,       100,         0,    312527,         0,      0.38,      0.37,      0.00
        32,   1940180,       100,         0,    249277,         0,      0.48,      0.47,      0.00
        33,   1803407,       100,         0,    386050,         0,      0.40,      0.38,      0.00
        34,   1841268,       100,         0,    348189,         0,      0.41,      0.40,      0.00
        35,   1892508,       100,         0,    296949,         0,      0.36,      0.35,      0.00
        36,   2035379,       100,         0,    154078,         0,      0.25,      0.25,      0.00
        37,   1400869,       100,         0,    788588,         0,      0.68,      0.66,      0.00
        38,   2043254,       100,         0,    146203,         0,      0.40,      0.39,      0.00
        39,   2034056,       100,         0,    155401,         0,      0.34,      0.33,      0.00
        40,   2152428,       100,         0,     37029,         0,      0.26,      0.25,      0.00
        41,   1620565,       100,         0,    568892,         0,      0.60,      0.58,      0.00
        42,   1090316,       100,         0,   1099141,         0,      0.98,      0.97,      0.00
        43,   1928826,       100,         0,    260631,         0,      0.48,      0.47,      0.00
        44,    842907,       100,         0,   1346550,         0,      1.01,      0.99,      0.00
        45,   1729990,       100,         0,    459467,         0,      0.53,      0.52,      0.00
        46,   1716235,       100,         0,    473222,         0,      0.49,      0.48,      0.00
        47,   2189354,        98,         5,    218980,         0,      0.36,      0.20,      0.00
        48,   2006788,       100,         0,    182669,         0,      0.37,      0.37,      0.00
        49,   1796816,       100,         0,    392641,         0,      0.49,      0.48,      0.00
        50,   1649564,       100,         0,    539893,         0,      0.55,      0.53,      0.00
        51,   2045971,       100,         0,    143486,         0,      0.33,      0.32,      0.00
        52,   2069649,       100,         0,    119808,         0,      0.30,      0.29,      0.00
