queryID,n_prune_user,n_result_user,n_refine_user,ip_cost,io_cost,total_time,memory_index_time,io_time
         0,   1766478,       100,         0,    422979,         0,      0.11,      0.09,      0.00
         1,   1832472,       100,         0,    356985,         0,      0.05,      0.05,      0.00
         2,   1792890,       100,         0,    396567,         0,      0.05,      0.05,      0.00
         3,   2189357,       100,         0,   2189457,         0,      0.17,      0.16,      0.00
         4,   1889179,       100,         0,    300278,         0,      0.04,      0.04,      0.00
         5,   2189357,       100,         0,    308639,         0,      0.04,      0.04,      0.00
         6,   2189355,        97,         5,    643842,         0,      0.07,      0.05,      0.00
         7,   1703479,       100,         0,    485978,         0,      0.05,      0.05,      0.00
         8,   2189357,       100,         0,     61287,         0,      0.03,      0.03,      0.00
         9,   1577339,       100,         0,    612118,         0,      0.06,      0.05,      0.00
        10,   2021779,       100,         0,    167678,         0,      0.04,      0.03,      0.00
        11,    749371,       100,         0,   1440086,         0,      0.11,      0.10,      0.00
        12,   1925572,       100,         0,    263885,         0,      0.04,      0.04,      0.00
        13,   1298980,       100,         0,    890477,         0,      0.08,      0.08,      0.00
        14,   2032985,       100,         0,    156472,         0,      0.04,      0.03,      0.00
        15,   1495792,       100,         0,    693665,         0,      0.06,      0.06,      0.00
        16,   2074843,       100,         0,    114614,         0,      0.03,      0.03,      0.00
        17,   1073869,       100,         0,   1115588,         0,      0.10,      0.09,      0.00
        18,   1821212,       100,         0,    368245,         0,      0.06,      0.04,      0.00
        19,   1698765,       100,         0,    490692,         0,      0.05,      0.05,      0.00
        20,   1589208,       100,         0,    600249,         0,      0.06,      0.05,      0.00
        21,   1953175,       100,         0,    236282,         0,      0.04,      0.04,      0.00
        22,   1292428,       100,         0,    897029,         0,      0.08,      0.07,      0.00
        23,   1948250,       100,         0,    241207,         0,      0.04,      0.04,      0.00
        24,   1705977,       100,         0,    483480,         0,      0.05,      0.05,      0.00
        25,   1254695,       100,         0,    934762,         0,      0.08,      0.07,      0.00
        26,   2189357,       100,         0,    123658,         0,      0.03,      0.03,      0.00
        27,   1770649,       100,         0,    418808,         0,      0.05,      0.05,      0.00
        28,   1964494,       100,         0,    224963,         0,      0.04,      0.03,      0.00
        29,   1117930,       100,         0,   1071527,         0,      0.08,      0.08,      0.00
        30,   1259124,       100,         0,    930333,         0,      0.09,      0.08,      0.00
        31,   2149882,       100,         0,     39575,         0,      0.03,      0.03,      0.00
        32,   1744782,       100,         0,    444675,         0,      0.05,      0.05,      0.00
        33,   1755212,       100,         0,    434245,         0,      0.05,      0.05,      0.00
        34,   1008656,       100,         0,   1180801,         0,      0.09,      0.09,      0.00
        35,   2189357,       100,         0,    164324,         0,      0.04,      0.03,      0.00
        36,   1251876,       100,         0,    937581,         0,      0.09,      0.09,      0.00
