[2023-05-23 20:37:54.088] [info] finish queryID 441, single_query_retrieval_time 261.08s, ip_cost 2187975251, n_proc_query 1.00
[2023-05-23 20:38:28.491] [info] finish queryID 483, single_query_retrieval_time 295.49s, ip_cost 2855533358, n_proc_query 1.00
[2023-05-23 20:41:05.484] [info] finish queryID 672, single_query_retrieval_time 452.48s, ip_cost 4834393428, n_proc_query 1.00
[2023-05-23 20:43:45.667] [info] finish queryID 42, single_query_retrieval_time 612.66s, ip_cost 6514300027, n_proc_query 1.00
[2023-05-23 20:44:52.966] [info] finish queryID 567, single_query_retrieval_time 679.96s, ip_cost 7549863808, n_proc_query 1.00
[2023-05-23 20:46:46.456] [info] finish queryID 168, single_query_retrieval_time 793.45s, ip_cost 7204412356, n_proc_query 1.00
[2023-05-23 20:47:30.319] [info] finish queryID 462, single_query_retrieval_time 837.31s, ip_cost 8542420260, n_proc_query 1.00
[2023-05-23 20:55:08.323] [info] finish queryID 336, single_query_retrieval_time 1295.32s, ip_cost 12510466249, n_proc_query 1.00
[2023-05-23 20:56:11.823] [info] finish queryID 568, single_query_retrieval_time 678.86s, ip_cost 6349857206, n_proc_query 2.00
[2023-05-23 20:56:31.463] [info] finish queryID 357, single_query_retrieval_time 1378.46s, ip_cost 13044876865, n_proc_query 1.00
[2023-05-23 20:56:33.352] [info] finish queryID 840, single_query_retrieval_time 1380.35s, ip_cost 13939847857, n_proc_query 1.00
[2023-05-23 21:02:00.742] [info] finish queryID 463, single_query_retrieval_time 870.42s, ip_cost 8019131629, n_proc_query 2.00
[2023-05-23 21:02:16.063] [info] finish queryID 756, single_query_retrieval_time 1723.06s, ip_cost 19444135510, n_proc_query 1.00
[2023-05-23 21:06:04.650] [info] finish queryID 464, single_query_retrieval_time 243.91s, ip_cost 2632514402, n_proc_query 3.00
[2023-05-23 21:16:16.370] [info] finish queryID 337, single_query_retrieval_time 1268.05s, ip_cost 12931652009, n_proc_query 2.00
[2023-05-23 21:22:15.051] [info] finish queryID 820, single_query_retrieval_time 884.94s, ip_cost 7844834910, n_proc_query 2.00
[2023-05-23 21:29:00.888] [info] finish queryID 778, single_query_retrieval_time 490.04s, ip_cost 4946572493, n_proc_query 2.00
[2023-05-23 21:52:10.453] [info] finish queryID 673, single_query_retrieval_time 4264.97s, ip_cost 58600677478, n_proc_query 2.00
[2023-05-23 21:56:22.400] [info] finish queryID 779, single_query_retrieval_time 1641.51s, ip_cost 18694927089, n_proc_query 3.00
