queryID,n_prune_user,n_result_user,n_refine_user,ip_cost,io_cost,total_time,memory_index_time,io_time
         0,   2511503,        88,        19,  10287227,         0,      0.69,      0.18,      0.00
         1,   2511506,        80,        24,  12333442,         0,      0.60,      0.14,      0.00
         2,   2511500,        94,        16,   9059498,         0,      0.61,      0.20,      0.00
         3,   2511509,        97,         4,   4148582,         0,      0.28,      0.17,      0.00
         4,   2511507,        99,         4,   4148582,         0,      0.25,      0.14,      0.00
         5,   2511508,        98,         4,   4148582,         0,      0.25,      0.13,      0.00
         6,   2511509,        97,         4,   4148582,         0,      0.24,      0.12,      0.00
         7,   2511510,       100,         0,   2511610,         0,      0.16,      0.13,      0.00
         8,   2511510,       100,         0,   2511610,         0,      0.17,      0.14,      0.00
         9,   2511505,        99,         6,   4967068,         0,      0.30,      0.12,      0.00
        10,   2511510,       100,         0,   2511610,         0,      0.15,      0.11,      0.00
        11,   2511507,        99,         4,   4148582,         0,      0.21,      0.10,      0.00
        12,   2511507,        99,         4,   4148582,         0,      0.22,      0.10,      0.00
        13,   2511508,        98,         4,   4148582,         0,      0.22,      0.10,      0.00
        14,   2511510,       100,         0,   2511610,         0,      0.15,      0.11,      0.00
        15,   2511509,        99,         2,   3330096,         0,      0.19,      0.12,      0.00
        16,   2511509,        98,         3,   3739339,         0,      0.19,      0.09,      0.00
        17,   2511483,        90,        37,  17653601,         0,      1.01,      0.11,      0.00
        18,   2511509,        97,         4,   4148582,         0,      0.24,      0.11,      0.00
        19,   2511510,       100,         0,   2511610,         0,      0.15,      0.12,      0.00
        20,   2511509,        98,         3,   3739339,         0,      0.24,      0.14,      0.00
        21,   2511499,        98,        13,   7831769,         0,      0.47,      0.14,      0.00
        22,   2511509,        98,         3,   3739339,         0,      0.24,      0.14,      0.00
        23,   2511510,       100,         0,   2511610,         0,      0.17,      0.15,      0.00
        24,   2511509,        96,         5,   4557825,         0,      0.26,      0.12,      0.00
        25,   2511503,        99,         8,   5785554,         0,      0.34,      0.12,      0.00
        26,   2511506,        89,        15,   8650255,         0,      0.50,      0.11,      0.00
        27,   2511502,        99,         9,   6194797,         0,      0.35,      0.11,      0.00
        28,   2511510,       100,         0,   2511610,         0,      0.15,      0.11,      0.00
        29,   2511509,        99,         2,   3330096,         0,      0.17,      0.10,      0.00
        30,   2511507,        90,        13,   7831769,         0,      0.45,      0.12,      0.00
        31,   2511510,       100,         0,   2511610,         0,      0.21,      0.18,      0.00
        32,   2511505,        99,         6,   4967068,         0,      0.36,      0.19,      0.00
        33,   2511510,       100,         0,   2511610,         0,      0.16,      0.13,      0.00
