queryID,n_prune_user,n_result_user,n_refine_user,ip_cost,io_cost,total_time,memory_index_time,io_time
         0,   2189353,        95,         9,   3625722,         0,      0.57,      0.31,      0.00
         1,   2189357,       100,         0,   2189457,         0,      0.27,      0.24,      0.00
         2,   2189357,       100,         0,   2189457,         0,      0.28,      0.25,      0.00
         3,   2189355,        98,         4,   2827797,         0,      0.23,      0.16,      0.00
         4,   2189357,       100,         0,   2189457,         0,      0.18,      0.15,      0.00
         5,   2189357,       100,         0,   2189457,         0,      0.19,      0.16,      0.00
         6,   2189353,        99,         5,   2987382,         0,      0.26,      0.16,      0.00
         7,   2189357,       100,         0,   2189457,         0,      0.18,      0.15,      0.00
         8,   2189357,       100,         0,   2189457,         0,      0.17,      0.14,      0.00
         9,   2189354,        98,         5,   2987382,         0,      0.29,      0.15,      0.00
        10,   2189357,       100,         0,   2189457,         0,      0.22,      0.19,      0.00
        11,   2189357,       100,         0,   2189457,         0,      0.18,      0.15,      0.00
        12,   2189294,        70,        93,  17030862,         0,      2.16,      0.16,      0.00
        13,   2189351,        94,        12,   4104477,         0,      0.51,      0.24,      0.00
        14,   2189264,        88,       105,  18945882,         0,      2.71,      0.21,      0.00
        15,   2189353,        97,         7,   3306552,         0,      0.47,      0.28,      0.00
        16,   2189356,        99,         2,   2508627,         0,      0.27,      0.20,      0.00
        17,   2189354,        98,         5,   2987382,         0,      0.24,      0.17,      0.00
        18,   2175902,        66,     13489,2154831522,         0,    327.02,      0.20,      0.00
        19,   2189357,       100,         0,   2189457,         0,      1.36,      1.33,      0.00
        20,   2189356,        99,         2,   2508627,         0,      0.41,      0.34,      0.00
        21,   2189355,        99,         3,   2668212,         0,      0.28,      0.19,      0.00
        22,   2189338,        44,        75,  14158332,         0,      2.73,      0.89,      0.00
        23,   2189356,        81,        20,   5381157,         0,      0.84,      0.30,      0.00
        24,   2189350,        98,         9,   3625722,         0,      0.45,      0.20,      0.00
        25,   2189357,       100,         0,   2189457,         0,      0.19,      0.16,      0.00
        26,   2189357,       100,         0,   2189457,         0,      0.22,      0.19,      0.00
        27,   2189350,        86,        21,   5540742,         0,      0.82,      0.28,      0.00
        28,   2189301,        42,       114,  20382147,         0,      3.03,      0.17,      0.00
        29,   2189356,        98,         3,   2668212,         0,      0.34,      0.23,      0.00
        30,   2189357,       100,         0,   2189457,         0,      0.19,      0.16,      0.00
        31,   2189356,        99,         2,   2508627,         0,      0.23,      0.19,      0.00
        32,   2189352,        96,         9,   3625722,         0,      0.44,      0.18,      0.00
        33,   2189357,       100,         0,   2189457,         0,      0.18,      0.15,      0.00
        34,   2189340,        92,        25,   6179082,         0,      0.81,      0.15,      0.00
        35,   2189357,       100,         0,   2189457,         0,      0.18,      0.15,      0.00
        36,   2189356,        98,         3,   2668212,         0,      0.24,      0.15,      0.00
        37,   2189349,        99,         9,   3625722,         0,      0.40,      0.17,      0.00
        38,   2189349,        99,         9,   3625722,         0,      0.38,      0.15,      0.00
        39,   2189357,       100,         0,   2189457,         0,      0.17,      0.15,      0.00
        40,   2189348,        76,        33,   7455762,         0,      0.91,      0.15,      0.00
        41,   2189357,       100,         0,   2189457,         0,      0.19,      0.16,      0.00
        42,   2189357,       100,         0,   2189457,         0,      0.17,      0.14,      0.00
        43,   2189352,        86,        19,   5221572,         0,      0.65,      0.16,      0.00
        44,   2189353,        91,        13,   4264062,         0,      0.51,      0.15,      0.00
        45,   2189344,        61,        52,  10487877,         0,      1.55,      0.17,      0.00
        46,   2189355,        98,         4,   2827797,         0,      0.30,      0.18,      0.00
        47,   2189352,        98,         7,   3306552,         0,      0.38,      0.18,      0.00
        48,   2189357,       100,         0,   2189457,         0,      0.18,      0.15,      0.00
        49,   2189357,       100,         0,   2189457,         0,      0.18,      0.15,      0.00
        50,   2189356,        97,         4,   2827797,         0,      0.23,      0.14,      0.00
        51,   2189357,       100,         0,   2189457,         0,      0.17,      0.14,      0.00
        52,   2189351,        93,        13,   4264062,         0,      0.49,      0.15,      0.00
        53,   2189352,        86,        19,   5221572,         0,      0.69,      0.15,      0.00
        54,   2189346,        99,        12,   4104477,         0,      0.48,      0.16,      0.00
        55,   2189262,        96,        99,  17988372,         0,      2.78,      0.17,      0.00
        56,   2189357,       100,         0,   2189457,         0,      0.29,      0.26,      0.00
        57,   2189356,        97,         4,   2827797,         0,      0.30,      0.18,      0.00
        58,   2189355,        91,        11,   3944892,         0,      0.44,      0.15,      0.00
        59,   2189344,        66,        47,   9689952,         0,      1.41,      0.20,      0.00
        60,   2189333,        99,        25,   6179082,         0,      0.86,      0.19,      0.00
        61,   2189329,        95,        33,   7455762,         0,      1.03,      0.19,      0.00
        62,   2189356,        99,         2,   2508627,         0,      0.25,      0.18,      0.00
        63,   2189330,        98,        29,   6817422,         0,      0.92,      0.19,      0.00
        64,   2189345,        98,        14,   4423647,         0,      0.53,      0.16,      0.00
        65,   2189352,        93,        12,   4104477,         0,      0.47,      0.15,      0.00
        66,   2189357,       100,         0,   2189457,         0,      0.28,      0.25,      0.00
        67,   2189357,       100,         0,   2189457,         0,      0.16,      0.13,      0.00
        68,   2189357,       100,         0,   2189457,         0,      0.18,      0.15,      0.00
        69,   2189351,        89,        17,   4902402,         0,      0.62,      0.15,      0.00
        70,   2189355,        99,         3,   2668212,         0,      0.25,      0.15,      0.00
        71,   2189334,        90,        33,   7455762,         0,      1.08,      0.18,      0.00
        72,   2189349,        95,        13,   4264062,         0,      0.51,      0.17,      0.00
        73,   2189354,        96,         7,   3306552,         0,      0.35,      0.15,      0.00
        74,   2189353,        93,        11,   3944892,         0,      0.38,      0.18,      0.00
        75,   2189338,        70,        49,  10009122,         0,      1.45,      0.18,      0.00
        76,   2189357,       100,         0,   2189457,         0,      0.23,      0.19,      0.00
        77,   2189357,       100,         0,   2189457,         0,      0.22,      0.19,      0.00
        78,   2189352,        94,        11,   3944892,         0,      0.49,      0.18,      0.00
        79,   2189312,         6,       139,  24371772,         0,      3.54,      0.27,      0.00
        80,   2189350,        84,        23,   5859912,         0,      0.90,      0.32,      0.00
        81,   2189355,        94,         8,   3466137,         0,      0.35,      0.14,      0.00
        82,   2189355,        99,         3,   2668212,         0,      0.23,      0.13,      0.00
        83,   2189357,       100,         0,   2189457,         0,      0.14,      0.11,      0.00
        84,   2189357,       100,         0,   2189457,         0,      0.15,      0.12,      0.00
        85,   2188947,         0,       510,  83577807,         0,     12.99,      0.12,      0.00
        86,   2189353,        92,        12,   4104477,         0,      0.61,      0.29,      0.00
        87,   2189345,        93,        19,   5221572,         0,      0.74,      0.23,      0.00
        88,   2189353,        99,         5,   2987382,         0,      0.33,      0.17,      0.00
        89,   2189357,       100,         0,   2189457,         0,      0.16,      0.13,      0.00
        90,   2189357,       100,         0,   2189457,         0,      0.15,      0.13,      0.00
        91,   2189218,        53,       186,  31872267,         0,      4.73,      0.17,      0.00
        92,   2189356,        92,         9,   3625722,         0,      0.40,      0.14,      0.00
        93,   2189356,        98,         3,   2668212,         0,      0.22,      0.12,      0.00
        94,   2189354,        97,         6,   3146967,         0,      0.31,      0.13,      0.00
        95,   2189357,       100,         0,   2189457,         0,      0.16,      0.13,      0.00
        96,   2189356,        99,         2,   2508627,         0,      0.19,      0.13,      0.00
        97,   2189355,        99,         3,   2668212,         0,      0.22,      0.13,      0.00
        98,   2189354,        80,        23,   5859912,         0,      0.71,      0.11,      0.00
        99,   2189353,        98,         6,   3146967,         0,      0.30,      0.12,      0.00
       100,   2189357,       100,         0,   2189457,         0,      0.14,      0.11,      0.00
       101,   2189353,        99,         5,   2987382,         0,      0.27,      0.12,      0.00
       102,   2189352,        99,         6,   3146967,         0,      0.30,      0.13,      0.00
       103,   2189357,       100,         0,   2189457,         0,      0.15,      0.13,      0.00
       104,   2189357,       100,         0,   2189457,         0,      0.17,      0.13,      0.00
       105,   2189357,       100,         0,   2189457,         0,      0.15,      0.12,      0.00
       106,   2189301,        62,        94,  17190447,         0,      2.56,      0.13,      0.00
       107,   2189355,        97,         5,   2987382,         0,      0.29,      0.13,      0.00
       108,   2189337,        90,        30,   6977007,         0,      0.91,      0.13,      0.00
       109,   2189357,       100,         0,   2189457,         0,      0.15,      0.12,      0.00
       110,   2189350,        97,        10,   3785307,         0,      0.38,      0.12,      0.00
       111,   2189356,        99,         2,   2508627,         0,      0.19,      0.12,      0.00
       112,   2189357,       100,         0,   2189457,         0,      0.14,      0.11,      0.00
       113,   2189340,        91,        26,   6338667,         0,      0.78,      0.12,      0.00
       114,   2189354,        94,         9,   3625722,         0,      0.37,      0.13,      0.00
       115,   2189336,        94,        27,   6498252,         0,      0.86,      0.13,      0.00
       116,   2189343,        80,        34,   7615347,         0,      0.92,      0.13,      0.00
       117,   2189347,        95,        15,   4583232,         0,      0.43,      0.13,      0.00
       118,   2189356,        99,         2,   2508627,         0,      0.20,      0.13,      0.00
       119,   2189357,       100,         0,   2189457,         0,      0.15,      0.12,      0.00
       120,   2189357,       100,         0,   2189457,         0,      0.16,      0.13,      0.00
       121,   2189353,        99,         5,   2987382,         0,      0.28,      0.13,      0.00
       122,   2189281,        97,        79,  14796672,         0,      2.09,      0.13,      0.00
