nohup: 忽略输入
[2022-12-03 10:36:11.414] [info] Simpfer dataset_name movielens-27m, dataset_dir /run/media/hdd/ReverseMIPS
[2022-12-03 10:36:11.414] [info] index_dir /home/bianzheng/CLionProjects/reverse-k-ranks/index
[2022-12-03 10:36:13.782] [info] n_data_item 52889, n_query_item 1000, n_user 283228, vec_dim 150
[2022-12-03 10:36:13.782] [info] input parameter: simpfer_k_max 4738, stop_time 86400s
[2022-12-03 11:07:21.266] [info] finish preprocess and save the index
[2022-12-03 13:24:09.032] [info] queryID 0, result_size 0, rtk_topk 1, accu_ip_cost 216, accu_query_time 8207.76s,
[2022-12-03 13:24:13.556] [info] queryID 0, result_size 0, rtk_topk 2, accu_ip_cost 468, accu_query_time 8212.29s,
[2022-12-03 13:24:21.280] [info] queryID 0, result_size 0, rtk_topk 4, accu_ip_cost 1512, accu_query_time 8220.01s,
[2022-12-03 13:24:53.972] [info] queryID 0, result_size 0, rtk_topk 8, accu_ip_cost 5796, accu_query_time 8252.70s,
[2022-12-03 13:26:17.784] [info] queryID 0, result_size 0, rtk_topk 16, accu_ip_cost 17964, accu_query_time 8336.51s,
[2022-12-03 13:29:07.554] [info] queryID 0, result_size 0, rtk_topk 32, accu_ip_cost 48096, accu_query_time 8506.28s,
[2022-12-03 13:33:28.941] [info] queryID 0, result_size 0, rtk_topk 64, accu_ip_cost 106308, accu_query_time 8767.67s,
[2022-12-03 13:38:15.325] [info] queryID 0, result_size 0, rtk_topk 128, accu_ip_cost 176292, accu_query_time 9054.05s,
[2022-12-03 13:42:06.023] [info] queryID 0, result_size 0, rtk_topk 256, accu_ip_cost 238876, accu_query_time 9284.75s,
[2022-12-03 13:44:10.948] [info] queryID 0, result_size 0, rtk_topk 512, accu_ip_cost 273040, accu_query_time 9409.68s,
[2022-12-03 13:44:50.849] [info] queryID 0, result_size 4, rtk_topk 1024, accu_ip_cost 1461550, accu_query_time 9449.58s,
[2022-12-03 13:45:04.208] [info] queryID 0, result_size 159, rtk_topk 2048, accu_ip_cost 41086775, accu_query_time 9462.94s,
[2022-12-03 13:47:34.749] [info] queryID 0, result_size 2043, rtk_topk 4096, accu_ip_cost 557229577, accu_query_time 9613.48s,
[2022-12-03 13:47:34.749] [info] queryID 0, result_size 2043, rtk_topk 4096, ip_cost 557229577, query_time 9613.48s, total_ip_cost 557229577, total_retrieval_time 9613.48s
[2022-12-03 13:47:34.772] [info] queryID 1, result_size 0, rtk_topk 1, accu_ip_cost 972, accu_query_time 0.02s,
[2022-12-03 13:47:34.803] [info] queryID 1, result_size 0, rtk_topk 2, accu_ip_cost 3528, accu_query_time 0.05s,
[2022-12-03 13:47:34.853] [info] queryID 1, result_size 0, rtk_topk 4, accu_ip_cost 11016, accu_query_time 0.10s,
[2022-12-03 13:47:34.956] [info] queryID 1, result_size 0, rtk_topk 8, accu_ip_cost 29988, accu_query_time 0.21s,
[2022-12-03 13:47:35.185] [info] queryID 1, result_size 0, rtk_topk 16, accu_ip_cost 77004, accu_query_time 0.44s,
[2022-12-03 13:47:35.614] [info] queryID 1, result_size 0, rtk_topk 32, accu_ip_cost 152028, accu_query_time 0.86s,
