queryID,n_prune_user,n_result_user,n_refine_user,ip_cost,io_cost,total_time,memory_index_time,io_time
         0,   1405135,       100,         0,    784322,         0,      0.24,      0.22,      0.00
         1,   1896237,       100,         0,    293220,         0,      0.06,      0.06,      0.00
         2,   1837028,       100,         0,    352429,         0,      0.06,      0.05,      0.00
         3,   1813172,       100,         0,    376285,         0,      0.05,      0.05,      0.00
         4,   2116965,       100,         0,     72492,         0,      0.03,      0.03,      0.00
         5,   2020180,       100,         0,    169277,         0,      0.04,      0.03,      0.00
         6,   2024801,       100,         0,    164656,         0,      0.04,      0.03,      0.00
         7,   1629059,       100,         0,    560398,         0,      0.06,      0.06,      0.00
         8,   2189357,       100,         0,    180184,         0,      0.04,      0.03,      0.00
         9,   2189357,       100,         0,     17594,         0,      0.03,      0.02,      0.00
        10,   1511656,       100,         0,    677801,         0,      0.07,      0.06,      0.00
        11,   1799110,       100,         0,    390347,         0,      0.05,      0.04,      0.00
        12,   2044592,       100,         0,    144865,         0,      0.04,      0.03,      0.00
        13,   2071069,       100,         0,    118388,         0,      0.03,      0.03,      0.00
        14,   1601380,       100,         0,    588077,         0,      0.07,      0.06,      0.00
        15,   2189357,       100,         0,     72939,         0,      0.03,      0.03,      0.00
        16,   1768347,       100,         0,    421110,         0,      0.06,      0.05,      0.00
        17,   2189357,       100,         0,    310201,         0,      0.05,      0.04,      0.00
        18,   2189357,       100,         0,    379188,         0,      0.05,      0.05,      0.00
        19,   2189357,       100,         0,    339062,         0,      0.05,      0.04,      0.00
        20,         0,       100,         0,         0,         0,      0.25,      0.24,      0.00
        21,    473114,       100,         0,   1716343,         0,      0.15,      0.14,      0.00
        22,   1777677,       100,         0,    411780,         0,      0.06,      0.06,      0.00
        23,   1736460,       100,         0,    452997,         0,      0.06,      0.06,      0.00
        24,   2124566,       100,         0,     64891,         0,      0.03,      0.03,      0.00
        25,   2087619,       100,         0,    101838,         0,      0.03,      0.03,      0.00
        26,   2060980,       100,         0,    128477,         0,      0.03,      0.03,      0.00
        27,   2189357,       100,         0,     19565,         0,      0.03,      0.02,      0.00
        28,   1805975,       100,         0,    383482,         0,      0.06,      0.05,      0.00
        29,   1646315,       100,         0,    543142,         0,      0.07,      0.06,      0.00
        30,   2089978,       100,         0,     99479,         0,      0.04,      0.03,      0.00
        31,   2189354,        98,         5,     54646,         0,      0.05,      0.02,      0.00
        32,   2189357,       100,         0,     76764,         0,      0.03,      0.03,      0.00
        33,   2189357,       100,         0,     64972,         0,      0.03,      0.03,      0.00
        34,   1827686,       100,         0,    361771,         0,      0.05,      0.05,      0.00
        35,   2189356,        98,         3,   2322787,         0,      0.25,      0.22,      0.00
        36,   1965092,       100,         0,    224365,         0,      0.05,      0.04,      0.00
        37,   2189357,       100,         0,    660760,         0,      0.08,      0.07,      0.00
        38,   1533205,       100,         0,    656252,         0,      0.07,      0.07,      0.00
        39,   2189357,       100,         0,    325761,         0,      0.05,      0.04,      0.00
        40,   1873654,       100,         0,    315803,         0,      0.05,      0.05,      0.00
        41,   2189357,       100,         0,    540544,         0,      0.06,      0.06,      0.00
        42,   1738812,       100,         0,    450645,         0,      0.06,      0.06,      0.00
        43,   1646629,       100,         0,    542828,         0,      0.07,      0.07,      0.00
        44,   2189357,       100,         0,    109048,         0,      0.03,      0.03,      0.00
        45,   1612954,       100,         0,    576503,         0,      0.07,      0.06,      0.00
        46,   1657130,       100,         0,    532327,         0,      0.07,      0.07,      0.00
        47,   1814904,       100,         0,    374553,         0,      0.06,      0.05,      0.00
        48,   2189357,       100,         0,   1474584,         0,      0.13,      0.13,      0.00
        49,   2189357,       100,         0,    237229,         0,      0.05,      0.05,      0.00
        50,   2172826,       100,         0,     16631,         0,      0.03,      0.02,      0.00
        51,   1797102,       100,         0,    392355,         0,      0.06,      0.05,      0.00
        52,   1581796,       100,         0,    607659,         0,      0.08,      0.08,      0.00
        53,   1536910,       100,         0,    652547,         0,      0.08,      0.07,      0.00
        54,   2189357,       100,         0,     34821,         0,      0.03,      0.03,      0.00
        55,   2162137,       100,         0,     27317,         0,      0.03,      0.02,      0.00
        56,   2104989,       100,         0,     84468,         0,      0.03,      0.03,      0.00
        57,   2189357,       100,         0,     94787,         0,      0.03,      0.03,      0.00
        58,   2189355,        98,         4,   1348408,         0,      0.15,      0.12,      0.00
        59,   1998924,       100,         0,    190533,         0,      0.04,      0.04,      0.00
        60,   2066095,       100,         0,    123362,         0,      0.04,      0.03,      0.00
        61,   2189354,        99,         4,    175443,         0,      0.06,      0.03,      0.00
        62,   2189357,       100,         0,    258939,         0,      0.04,      0.04,      0.00
        63,   2189355,        96,         6,    182834,         0,      0.05,      0.03,      0.00
        64,   2066562,       100,         0,    122895,         0,      0.04,      0.03,      0.00
        65,   1978387,       100,         0,    211070,         0,      0.04,      0.04,      0.00
        66,    334307,       100,         0,   1855150,         0,      0.19,      0.18,      0.00
        67,   1926340,       100,         0,    263117,         0,      0.05,      0.04,      0.00
