[2023-05-21 07:29:56.585] [info] Retrieval method_name SimpferPP, dataset_name yelp-150d, topk 100
[2023-05-21 07:29:56.585] [info] dataset_dir /home/zhengbian/Dataset/ReverseMIPS
[2023-05-21 07:29:56.585] [info] index_dir /home/zhengbian/reverse-k-ranks/index
[2023-05-21 07:30:01.843] [info] n_data_item 159585, n_query_item 1000, n_user 2189457, vec_dim 150
[2023-05-21 07:30:01.843] [info] input parameter: simpfer_k_max 605, stop_time 36000s
[2023-05-21 07:30:02.910] [info] finish transform user
[2023-05-21 07:30:02.992] [info] finish transform data item
[2023-05-21 07:46:23.462] [info] finish simpfer preprocessing
[2023-05-21 07:46:30.076] [info] finish preprocess and save the index
[2023-05-21 07:46:30.270] [info] queryID 0, result_size 0, rtk_topk 1, accu_ip_cost 2163726, accu_query_time 0.19s,
[2023-05-21 07:46:30.318] [info] queryID 0, result_size 1, rtk_topk 2, accu_ip_cost 2175626, accu_query_time 0.24s,
[2023-05-21 07:46:30.352] [info] queryID 0, result_size 2, rtk_topk 4, accu_ip_cost 2181372, accu_query_time 0.28s,
[2023-05-21 07:46:30.387] [info] queryID 0, result_size 2, rtk_topk 8, accu_ip_cost 2186302, accu_query_time 0.31s,
[2023-05-21 07:46:30.421] [info] queryID 0, result_size 5, rtk_topk 16, accu_ip_cost 2189294, accu_query_time 0.34s,
[2023-05-21 07:46:30.455] [info] queryID 0, result_size 9, rtk_topk 32, accu_ip_cost 2189430, accu_query_time 0.38s,
[2023-05-21 07:46:30.490] [info] queryID 0, result_size 43, rtk_topk 64, accu_ip_cost 2189430, accu_query_time 0.41s,
[2023-05-21 07:46:30.524] [info] queryID 0, result_size 152, rtk_topk 128, accu_ip_cost 2189430, accu_query_time 0.45s,
[2023-05-21 07:46:30.524] [info] queryID 0, result_size 152, rtk_topk 128, ip_cost 2189430, query_time 0.45s, total_ip_cost 2189430, total_retrieval_time 0.45s
[2023-05-21 07:46:30.557] [info] queryID 1, result_size 0, rtk_topk 1, accu_ip_cost 2093890, accu_query_time 0.03s,
[2023-05-21 07:46:30.590] [info] queryID 1, result_size 0, rtk_topk 2, accu_ip_cost 2136560, accu_query_time 0.07s,
[2023-05-21 07:46:30.624] [info] queryID 1, result_size 0, rtk_topk 4, accu_ip_cost 2157028, accu_query_time 0.10s,
[2023-05-21 07:46:30.658] [info] queryID 1, result_size 0, rtk_topk 8, accu_ip_cost 2169302, accu_query_time 0.13s,
[2023-05-21 07:46:30.692] [info] queryID 1, result_size 2, rtk_topk 16, accu_ip_cost 2176714, accu_query_time 0.17s,
[2023-05-21 07:46:30.726] [info] queryID 1, result_size 6, rtk_topk 32, accu_ip_cost 2181712, accu_query_time 0.20s,
[2023-05-21 07:46:30.760] [info] queryID 1, result_size 10, rtk_topk 64, accu_ip_cost 2186132, accu_query_time 0.24s,
[2023-05-21 07:46:30.794] [info] queryID 1, result_size 21, rtk_topk 128, accu_ip_cost 2189328, accu_query_time 0.27s,
[2023-05-21 07:46:30.830] [info] queryID 1, result_size 41, rtk_topk 256, accu_ip_cost 2189430, accu_query_time 0.31s,
[2023-05-21 07:46:30.873] [info] queryID 1, result_size 100, rtk_topk 512, accu_ip_cost 2189430, accu_query_time 0.35s,
[2023-05-21 07:46:30.873] [info] queryID 1, result_size 100, rtk_topk 512, ip_cost 2189430, query_time 0.35s, total_ip_cost 4378860, total_retrieval_time 0.80s
[2023-05-21 07:46:30.906] [info] queryID 2, result_size 0, rtk_topk 1, accu_ip_cost 2113100, accu_query_time 0.03s,
[2023-05-21 07:46:30.940] [info] queryID 2, result_size 0, rtk_topk 2, accu_ip_cost 2147780, accu_query_time 0.07s,
[2023-05-21 07:46:30.973] [info] queryID 2, result_size 0, rtk_topk 4, accu_ip_cost 2163318, accu_query_time 0.10s,
[2023-05-21 07:46:31.007] [info] queryID 2, result_size 0, rtk_topk 8, accu_ip_cost 2172702, accu_query_time 0.13s,
[2023-05-21 07:46:31.041] [info] queryID 2, result_size 1, rtk_topk 16, accu_ip_cost 2179366, accu_query_time 0.17s,
[2023-05-21 07:46:31.075] [info] queryID 2, result_size 8, rtk_topk 32, accu_ip_cost 2183786, accu_query_time 0.20s,
[2023-05-21 07:46:31.109] [info] queryID 2, result_size 20, rtk_topk 64, accu_ip_cost 2188274, accu_query_time 0.24s,
[2023-05-21 07:46:31.143] [info] queryID 2, result_size 59, rtk_topk 128, accu_ip_cost 2189430, accu_query_time 0.27s,
[2023-05-21 07:46:31.177] [info] queryID 2, result_size 176, rtk_topk 256, accu_ip_cost 2189430, accu_query_time 0.30s,
[2023-05-21 07:46:31.177] [info] queryID 2, result_size 176, rtk_topk 256, ip_cost 2189430, query_time 0.30s, total_ip_cost 6568290, total_retrieval_time 1.10s
[2023-05-21 07:46:31.205] [info] queryID 3, result_size 0, rtk_topk 1, accu_ip_cost 1799518, accu_query_time 0.03s,
[2023-05-21 07:46:31.235] [info] queryID 3, result_size 0, rtk_topk 2, accu_ip_cost 1945140, accu_query_time 0.06s,
[2023-05-21 07:46:31.267] [info] queryID 3, result_size 0, rtk_topk 4, accu_ip_cost 2034118, accu_query_time 0.09s,
[2023-05-21 07:46:31.299] [info] queryID 3, result_size 0, rtk_topk 8, accu_ip_cost 2093312, accu_query_time 0.12s,
[2023-05-21 07:46:31.332] [info] queryID 3, result_size 0, rtk_topk 16, accu_ip_cost 2128536, accu_query_time 0.16s,
[2023-05-21 07:46:31.366] [info] queryID 3, result_size 0, rtk_topk 32, accu_ip_cost 2150024, accu_query_time 0.19s,
[2023-05-21 07:46:31.399] [info] queryID 3, result_size 0, rtk_topk 64, accu_ip_cost 2163590, accu_query_time 0.22s,
[2023-05-21 07:46:31.433] [info] queryID 3, result_size 3, rtk_topk 128, accu_ip_cost 2172566, accu_query_time 0.26s,
[2023-05-21 07:46:31.467] [info] queryID 3, result_size 6, rtk_topk 256, accu_ip_cost 2179162, accu_query_time 0.29s,
[2023-05-21 07:46:31.500] [info] queryID 3, result_size 19, rtk_topk 512, accu_ip_cost 2184670, accu_query_time 0.32s,
[2023-05-21 08:01:50.010] [info] queryID 3, result_size 2185127, rtk_topk 1024, accu_ip_cost 2572611975, accu_query_time 918.83s,
[2023-05-21 08:01:50.010] [info] queryID 3, result_size 2185127, rtk_topk 1024, ip_cost 2572611975, query_time 918.83s, total_ip_cost 2579180265, total_retrieval_time 919.93s
[2023-05-21 08:01:50.389] [info] queryID 4, result_size 0, rtk_topk 1, accu_ip_cost 1854700, accu_query_time 0.35s,
[2023-05-21 08:01:50.424] [info] queryID 4, result_size 0, rtk_topk 2, accu_ip_cost 1981826, accu_query_time 0.39s,
[2023-05-21 08:01:50.458] [info] queryID 4, result_size 0, rtk_topk 4, accu_ip_cost 2059788, accu_query_time 0.42s,
[2023-05-21 08:01:50.492] [info] queryID 4, result_size 0, rtk_topk 8, accu_ip_cost 2109836, accu_query_time 0.45s,
[2023-05-21 08:01:50.526] [info] queryID 4, result_size 0, rtk_topk 16, accu_ip_cost 2137580, accu_query_time 0.49s,
[2023-05-21 08:01:50.560] [info] queryID 4, result_size 0, rtk_topk 32, accu_ip_cost 2156620, accu_query_time 0.52s,
[2023-05-21 08:01:50.594] [info] queryID 4, result_size 1, rtk_topk 64, accu_ip_cost 2167772, accu_query_time 0.56s,
[2023-05-21 08:01:50.629] [info] queryID 4, result_size 7, rtk_topk 128, accu_ip_cost 2175932, accu_query_time 0.59s,
[2023-05-21 08:01:50.672] [info] queryID 4, result_size 25, rtk_topk 256, accu_ip_cost 2181440, accu_query_time 0.63s,
[2023-05-21 08:01:50.755] [info] queryID 4, result_size 91, rtk_topk 512, accu_ip_cost 2186812, accu_query_time 0.72s,
[2023-05-21 08:17:13.276] [info] queryID 4, result_size 2149928, rtk_topk 1024, accu_ip_cost 2572611975, accu_query_time 923.24s,
[2023-05-21 08:17:13.276] [info] queryID 4, result_size 2149928, rtk_topk 1024, ip_cost 2572611975, query_time 923.24s, total_ip_cost 5151792240, total_retrieval_time 1843.17s
[2023-05-21 08:17:13.698] [info] queryID 5, result_size 0, rtk_topk 1, accu_ip_cost 1974108, accu_query_time 0.39s,
[2023-05-21 08:17:13.733] [info] queryID 5, result_size 0, rtk_topk 2, accu_ip_cost 2062304, accu_query_time 0.43s,
[2023-05-21 08:17:13.767] [info] queryID 5, result_size 0, rtk_topk 4, accu_ip_cost 2111944, accu_query_time 0.46s,
[2023-05-21 08:17:13.800] [info] queryID 5, result_size 0, rtk_topk 8, accu_ip_cost 2140810, accu_query_time 0.49s,
[2023-05-21 08:17:13.833] [info] queryID 5, result_size 0, rtk_topk 16, accu_ip_cost 2158830, accu_query_time 0.53s,
[2023-05-21 08:17:13.867] [info] queryID 5, result_size 0, rtk_topk 32, accu_ip_cost 2169200, accu_query_time 0.56s,
[2023-05-21 08:17:13.902] [info] queryID 5, result_size 3, rtk_topk 64, accu_ip_cost 2176714, accu_query_time 0.59s,
[2023-05-21 08:17:13.937] [info] queryID 5, result_size 13, rtk_topk 128, accu_ip_cost 2181644, accu_query_time 0.63s,
[2023-05-21 08:17:13.980] [info] queryID 5, result_size 47, rtk_topk 256, accu_ip_cost 2186982, accu_query_time 0.67s,
[2023-05-21 08:17:14.064] [info] queryID 5, result_size 134, rtk_topk 512, accu_ip_cost 2189396, accu_query_time 0.76s,
[2023-05-21 08:17:14.064] [info] queryID 5, result_size 134, rtk_topk 512, ip_cost 2189396, query_time 0.76s, total_ip_cost 5153981636, total_retrieval_time 1843.93s
[2023-05-21 08:17:14.077] [info] queryID 6, result_size 0, rtk_topk 1, accu_ip_cost 823276, accu_query_time 0.01s,
[2023-05-21 08:17:14.094] [info] queryID 6, result_size 0, rtk_topk 2, accu_ip_cost 1117036, accu_query_time 0.03s,
[2023-05-21 08:17:14.115] [info] queryID 6, result_size 0, rtk_topk 4, accu_ip_cost 1376218, accu_query_time 0.05s,
[2023-05-21 08:17:14.139] [info] queryID 6, result_size 0, rtk_topk 8, accu_ip_cost 1597388, accu_query_time 0.08s,
[2023-05-21 08:17:14.166] [info] queryID 6, result_size 0, rtk_topk 16, accu_ip_cost 1771094, accu_query_time 0.10s,
[2023-05-21 08:17:14.195] [info] queryID 6, result_size 0, rtk_topk 32, accu_ip_cost 1905700, accu_query_time 0.13s,
[2023-05-21 08:17:14.226] [info] queryID 6, result_size 0, rtk_topk 64, accu_ip_cost 2001376, accu_query_time 0.16s,
[2023-05-21 08:17:14.257] [info] queryID 6, result_size 1, rtk_topk 128, accu_ip_cost 2069070, accu_query_time 0.19s,
[2023-05-21 08:17:14.290] [info] queryID 6, result_size 1, rtk_topk 256, accu_ip_cost 2112794, accu_query_time 0.23s,
[2023-05-21 08:17:14.322] [info] queryID 6, result_size 2, rtk_topk 512, accu_ip_cost 2140878, accu_query_time 0.26s,
[2023-05-21 08:32:37.407] [info] queryID 6, result_size 1836001, rtk_topk 1024, accu_ip_cost 2572611975, accu_query_time 923.34s,
[2023-05-21 08:32:37.407] [info] queryID 6, result_size 1836001, rtk_topk 1024, ip_cost 2572611975, query_time 923.34s, total_ip_cost 7726593611, total_retrieval_time 2767.27s
[2023-05-21 08:32:37.626] [info] queryID 7, result_size 1, rtk_topk 1, accu_ip_cost 2132582, accu_query_time 0.20s,
[2023-05-21 08:32:37.665] [info] queryID 7, result_size 1, rtk_topk 2, accu_ip_cost 2157606, accu_query_time 0.24s,
[2023-05-21 08:32:37.698] [info] queryID 7, result_size 2, rtk_topk 4, accu_ip_cost 2170492, accu_query_time 0.27s,
[2023-05-21 08:32:37.731] [info] queryID 7, result_size 2, rtk_topk 8, accu_ip_cost 2177258, accu_query_time 0.31s,
[2023-05-21 08:32:37.764] [info] queryID 7, result_size 4, rtk_topk 16, accu_ip_cost 2182732, accu_query_time 0.34s,
[2023-05-21 08:32:37.798] [info] queryID 7, result_size 6, rtk_topk 32, accu_ip_cost 2186846, accu_query_time 0.37s,
[2023-05-21 08:32:37.831] [info] queryID 7, result_size 19, rtk_topk 64, accu_ip_cost 2189396, accu_query_time 0.41s,
[2023-05-21 08:32:37.865] [info] queryID 7, result_size 53, rtk_topk 128, accu_ip_cost 2189430, accu_query_time 0.44s,
[2023-05-21 08:32:37.901] [info] queryID 7, result_size 184, rtk_topk 256, accu_ip_cost 2189430, accu_query_time 0.48s,
