queryID,n_prune_user,n_result_user,n_refine_user,ip_cost,io_cost,total_time,memory_index_time,io_time
         0,   2189319,        99,        39,   8413272,         0,      0.25,      0.20,      0.00
         1,   2189355,        99,         3,   2668212,         0,      0.14,      0.12,      0.00
         2,   2189338,        91,        28,   6657837,         0,      0.12,      0.09,      0.00
         3,   2189342,        81,        34,   7615347,         0,      0.11,      0.09,      0.00
         4,   2189352,        97,         8,   3466137,         0,      0.11,      0.09,      0.00
         5,   2189355,        98,         4,   2827797,         0,      0.11,      0.09,      0.00
         6,   2189355,        99,         3,   2668212,         0,      0.10,      0.08,      0.00
         7,   2189342,        98,        17,   4902402,         0,      0.12,      0.09,      0.00
         8,   2189356,        96,         5,   2987382,         0,      0.11,      0.09,      0.00
         9,   2189357,       100,         0,   2189457,         0,      0.11,      0.10,      0.00
        10,   2189356,        97,         4,   2827797,         0,      0.10,      0.08,      0.00
        11,   2189353,        95,         9,   3625722,         0,      0.10,      0.08,      0.00
        12,   2189313,        97,        47,   9689952,         0,      0.12,      0.09,      0.00
        13,   2189356,        95,         6,   3146967,         0,      0.10,      0.09,      0.00
        14,   2189357,       100,         0,   2189457,         0,      0.10,      0.08,      0.00
        15,   2189357,       100,         0,   2189457,         0,      0.09,      0.08,      0.00
        16,   2189357,       100,         0,   2189457,         0,      0.09,      0.08,      0.00
        17,   2189357,       100,         0,   2189457,         0,      0.08,      0.07,      0.00
        18,   2189357,       100,         0,   2189457,         0,      0.08,      0.07,      0.00
        19,   2189357,       100,         0,   2189457,         0,      0.11,      0.09,      0.00
        20,         0,       100,         0,   2189457,         0,      0.08,      0.07,      0.00
        21,   2189323,        93,        41,   8732442,         0,      0.12,      0.08,      0.00
        22,   2189345,        99,        13,   4264062,         0,      0.12,      0.09,      0.00
        23,   2189357,       100,         0,   2189457,         0,      0.10,      0.08,      0.00
        24,   2189351,        99,         7,   3306552,         0,      0.11,      0.09,      0.00
        25,   2189351,        98,         8,   3466137,         0,      0.10,      0.08,      0.00
        26,   2189355,        99,         3,   2668212,         0,      0.10,      0.08,      0.00
        27,   2189357,       100,         0,   2189457,         0,      0.08,      0.07,      0.00
        28,   2189321,        91,        45,   9370782,         0,      0.12,      0.09,      0.00
        29,   2189357,       100,         0,   2189457,         0,      0.09,      0.08,      0.00
        30,   2189331,        90,        36,   7934517,         0,      0.12,      0.09,      0.00
        31,   2189357,       100,         0,   2189457,         0,      0.09,      0.08,      0.00
        32,   2189357,       100,         0,   2189457,         0,      0.08,      0.07,      0.00
        33,   2189357,       100,         0,   2189457,         0,      0.09,      0.08,      0.00
        34,   2189338,        86,        33,   7455762,         0,      0.13,      0.09,      0.00
        35,   2189357,       100,         0,   2189457,         0,      0.07,      0.06,      0.00
        36,   2189307,        88,        62,  12083727,         0,      0.13,      0.09,      0.00
        37,   2189355,        99,         3,   2668212,         0,      0.09,      0.08,      0.00
        38,   2189357,       100,         0,   2189457,         0,      0.09,      0.08,      0.00
        39,   2189357,       100,         0,   2189457,         0,      0.09,      0.08,      0.00
        40,   2189339,        87,        31,   7136592,         0,      0.12,      0.09,      0.00
        41,   2189357,       100,         0,   2189457,         0,      0.08,      0.07,      0.00
        42,   2189355,        99,         3,   2668212,         0,      0.11,      0.09,      0.00
        43,   2189352,        93,        12,   4104477,         0,      0.11,      0.09,      0.00
        44,   2189355,        96,         6,   3146967,         0,      0.12,      0.09,      0.00
        45,   2189354,        98,         5,   2987382,         0,      0.11,      0.09,      0.00
        46,   2189196,        86,       175,  30116832,         0,      0.17,      0.08,      0.00
        47,   2189353,        97,         7,   3306552,         0,      0.10,      0.08,      0.00
        48,   2189357,       100,         0,   2189457,         0,      0.09,      0.08,      0.00
        49,   2189355,        89,        13,   4264062,         0,      0.11,      0.09,      0.00
        50,   2189353,        98,         6,   3146967,         0,      0.10,      0.08,      0.00
        51,   2189356,        90,        11,   3944892,         0,      0.10,      0.08,      0.00
        52,         0,       100,         0,   2189457,         0,      0.10,      0.09,      0.00
        53,   2189341,        98,        18,   5061987,         0,      0.10,      0.08,      0.00
