nohup: ignoring input
[2023-05-23 12:18:18.101] [info] Retrieval method_name SimpferPP, dataset_name yelp-150d, topk 100
[2023-05-23 12:18:18.101] [info] dataset_dir /home/zhengbian/Dataset/ReverseMIPS
[2023-05-23 12:18:18.101] [info] index_dir /home/zhengbian/reverse-k-ranks/index
[2023-05-23 12:18:21.208] [info] n_data_item 159585, n_query_item 1000, n_user 2189457, vec_dim 150
[2023-05-23 12:18:21.208] [info] input parameter: simpfer_k_max 605, stop_time 46800s
[2023-05-23 12:18:22.293] [info] finish transform user
[2023-05-23 12:18:22.372] [info] finish transform data item
[2023-05-23 12:35:10.245] [info] finish simpfer preprocessing
[2023-05-23 12:35:16.641] [info] finish preprocess and save the index
[2023-05-23 12:35:17.039] [info] queryID 0, result_size 0, rtk_topk 1, accu_ip_cost 2163753, accu_query_time 0.40s,
[2023-05-23 12:35:17.074] [info] queryID 0, result_size 1, rtk_topk 2, accu_ip_cost 2175653, accu_query_time 0.43s,
[2023-05-23 12:35:17.112] [info] queryID 0, result_size 2, rtk_topk 4, accu_ip_cost 2181399, accu_query_time 0.47s,
[2023-05-23 12:35:17.150] [info] queryID 0, result_size 2, rtk_topk 8, accu_ip_cost 2186329, accu_query_time 0.51s,
[2023-05-23 12:35:17.187] [info] queryID 0, result_size 5, rtk_topk 16, accu_ip_cost 2189321, accu_query_time 0.55s,
[2023-05-23 12:35:17.225] [info] queryID 0, result_size 9, rtk_topk 32, accu_ip_cost 2189457, accu_query_time 0.58s,
[2023-05-23 12:35:17.262] [info] queryID 0, result_size 43, rtk_topk 64, accu_ip_cost 2189457, accu_query_time 0.62s,
[2023-05-23 12:35:17.301] [info] queryID 0, result_size 152, rtk_topk 128, accu_ip_cost 2189457, accu_query_time 0.66s,
[2023-05-23 12:35:17.301] [info] queryID 0, result_size 152, rtk_topk 128, ip_cost 2189457, query_time 0.66s, total_ip_cost 2189457, total_retrieval_time 0.66s
[2023-05-23 12:35:17.336] [info] queryID 1, result_size 0, rtk_topk 1, accu_ip_cost 2093917, accu_query_time 0.04s,
[2023-05-23 12:35:17.372] [info] queryID 1, result_size 0, rtk_topk 2, accu_ip_cost 2136587, accu_query_time 0.07s,
[2023-05-23 12:35:17.409] [info] queryID 1, result_size 0, rtk_topk 4, accu_ip_cost 2157055, accu_query_time 0.11s,
[2023-05-23 12:35:17.446] [info] queryID 1, result_size 0, rtk_topk 8, accu_ip_cost 2169329, accu_query_time 0.14s,
[2023-05-23 12:35:17.482] [info] queryID 1, result_size 2, rtk_topk 16, accu_ip_cost 2176741, accu_query_time 0.18s,
[2023-05-23 12:35:17.519] [info] queryID 1, result_size 6, rtk_topk 32, accu_ip_cost 2181739, accu_query_time 0.22s,
[2023-05-23 12:35:17.556] [info] queryID 1, result_size 10, rtk_topk 64, accu_ip_cost 2186159, accu_query_time 0.26s,
[2023-05-23 12:35:17.593] [info] queryID 1, result_size 21, rtk_topk 128, accu_ip_cost 2189355, accu_query_time 0.29s,
[2023-05-23 12:35:17.633] [info] queryID 1, result_size 41, rtk_topk 256, accu_ip_cost 2189457, accu_query_time 0.33s,
[2023-05-23 12:35:17.679] [info] queryID 1, result_size 100, rtk_topk 512, accu_ip_cost 2189457, accu_query_time 0.38s,
[2023-05-23 12:35:17.679] [info] queryID 1, result_size 100, rtk_topk 512, ip_cost 2189457, query_time 0.38s, total_ip_cost 4378914, total_retrieval_time 1.04s
[2023-05-23 12:35:17.715] [info] queryID 2, result_size 0, rtk_topk 1, accu_ip_cost 2113127, accu_query_time 0.04s,
[2023-05-23 12:35:17.752] [info] queryID 2, result_size 0, rtk_topk 2, accu_ip_cost 2147807, accu_query_time 0.07s,
[2023-05-23 12:35:17.788] [info] queryID 2, result_size 0, rtk_topk 4, accu_ip_cost 2163345, accu_query_time 0.11s,
[2023-05-23 12:35:17.825] [info] queryID 2, result_size 0, rtk_topk 8, accu_ip_cost 2172729, accu_query_time 0.15s,
[2023-05-23 12:35:17.861] [info] queryID 2, result_size 1, rtk_topk 16, accu_ip_cost 2179393, accu_query_time 0.18s,
[2023-05-23 12:35:17.898] [info] queryID 2, result_size 8, rtk_topk 32, accu_ip_cost 2183813, accu_query_time 0.22s,
[2023-05-23 12:35:17.935] [info] queryID 2, result_size 20, rtk_topk 64, accu_ip_cost 2188301, accu_query_time 0.26s,
[2023-05-23 12:35:17.972] [info] queryID 2, result_size 59, rtk_topk 128, accu_ip_cost 2189457, accu_query_time 0.29s,
[2023-05-23 12:35:18.009] [info] queryID 2, result_size 176, rtk_topk 256, accu_ip_cost 2189457, accu_query_time 0.33s,
[2023-05-23 12:35:18.009] [info] queryID 2, result_size 176, rtk_topk 256, ip_cost 2189457, query_time 0.33s, total_ip_cost 6568371, total_retrieval_time 1.37s
[2023-05-23 12:35:18.039] [info] queryID 3, result_size 0, rtk_topk 1, accu_ip_cost 1799545, accu_query_time 0.03s,
[2023-05-23 12:35:18.071] [info] queryID 3, result_size 0, rtk_topk 2, accu_ip_cost 1945167, accu_query_time 0.06s,
[2023-05-23 12:35:18.105] [info] queryID 3, result_size 0, rtk_topk 4, accu_ip_cost 2034145, accu_query_time 0.10s,
[2023-05-23 12:35:18.140] [info] queryID 3, result_size 0, rtk_topk 8, accu_ip_cost 2093339, accu_query_time 0.13s,
[2023-05-23 12:35:18.176] [info] queryID 3, result_size 0, rtk_topk 16, accu_ip_cost 2128563, accu_query_time 0.17s,
[2023-05-23 12:35:18.212] [info] queryID 3, result_size 0, rtk_topk 32, accu_ip_cost 2150051, accu_query_time 0.20s,
[2023-05-23 12:35:18.248] [info] queryID 3, result_size 0, rtk_topk 64, accu_ip_cost 2163617, accu_query_time 0.24s,
[2023-05-23 12:35:18.285] [info] queryID 3, result_size 3, rtk_topk 128, accu_ip_cost 2172593, accu_query_time 0.28s,
[2023-05-23 12:35:18.321] [info] queryID 3, result_size 6, rtk_topk 256, accu_ip_cost 2179189, accu_query_time 0.31s,
[2023-05-23 12:35:18.358] [info] queryID 3, result_size 19, rtk_topk 512, accu_ip_cost 2184697, accu_query_time 0.35s,
[2023-05-23 12:50:50.401] [info] queryID 3, result_size 2185127, rtk_topk 1024, accu_ip_cost 2572611975, accu_query_time 932.39s,
[2023-05-23 12:50:50.401] [info] queryID 3, result_size 2185127, rtk_topk 1024, ip_cost 2572611975, query_time 932.39s, total_ip_cost 2579180346, total_retrieval_time 933.76s
